ckpt_index,env_id,episode,episode_cost,episode_length,success,crash,out_of_road,route_completion,velocity_step_mean,first_cost_step,first_cost_reason,cost_streak_max,cost_steps_total,first_crash_step,first_crash_type,contact_steps_total,contact_streak_max,filter_intervention_count,last_intervention_before_first_cost,last_intervention_before_first_crash,high_cost_reason_guess
6000,1044,45,1408.0,1500,False,True,False,0.34081033544823747,0.7269128992333022,93,crash_object,1408,1408,93,crash_object,1500,1500,1407,-1,-1,traffic_object_contact_streak
6000,1000,1,1369.0,1500,False,True,False,0.5283161782328045,1.1917244282230528,132,crash_object,1369,1369,132,crash_object,1500,1500,1370,124,124,traffic_object_contact_streak
6000,1049,50,1327.0,1500,False,True,False,0.6100218440718332,1.4051149564271304,149,crash_vehicle,1325,1327,149,crash_vehicle,1500,1500,1340,147,147,traffic_object_contact_streak
6000,1029,30,1292.0,1500,False,True,False,0.9516458748462511,1.777750197508435,209,crash_object,1292,1292,209,crash_object,1500,1500,1291,-1,-1,traffic_object_contact_streak
6000,1031,32,1290.0,1500,False,True,False,0.5649894427472837,1.7564613815500947,209,crash_object,978,1290,209,crash_object,1500,1500,1299,204,204,traffic_object_contact_streak
6000,1008,9,1263.0,1500,False,True,False,0.7642934304738634,1.8798143657290836,238,crash_object,1263,1263,238,crash_object,1500,1500,1278,198,198,traffic_object_contact_streak
6000,1002,3,1259.0,1500,False,True,False,0.7413077555400676,1.9364223575151955,242,crash_object,1259,1259,242,crash_object,1500,1500,1270,211,211,traffic_object_contact_streak
6000,1022,23,1195.0,1500,False,True,False,0.8213049812808472,2.2927822476212887,299,crash_vehicle,1193,1195,299,crash_vehicle,1500,1500,1214,296,296,traffic_object_contact_streak
6000,1038,39,1191.0,1500,False,True,False,0.5765653447490763,1.6267442327627926,253,crash_vehicle,1185,1191,253,crash_vehicle,1500,1500,1220,251,251,traffic_object_contact_streak
6000,1048,49,109.0,523,False,True,True,0.9550894065721155,7.148318794466111,395,crash_vehicle,39,109,395,crash_vehicle,523,523,135,394,394,traffic_object_contact_streak
