,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,route_completion,episode,ckpt_index,env_id,num_ep_in_one_env
0,262,11.919579105619556,True,324.68156139341414,14.0,False,False,False,0.984573402551408,1,6000,1000,1
1,165,10.03046764954826,False,171.9393432596774,3.0,True,False,True,0.5695297184727263,2,6000,1001,1
2,341,11.233272346830761,True,396.4609687355632,20.0,True,True,False,0.9879925406169889,3,6000,1002,1
3,341,12.227509728960865,True,431.11620226384576,3.0,False,False,False,0.9891676628811391,4,6000,1003,1
4,194,13.199146884703866,False,262.4572657458121,1.0,False,False,True,0.5221323555104439,5,6000,1004,1
5,332,10.912190724346168,True,374.6298126599352,11.0,False,False,False,0.9854175340204538,6,6000,1005,1
6,363,11.585871696137652,True,433.73487072072015,3.0,False,False,False,0.991004375932881,7,6000,1006,1
7,333,12.326912215182267,True,426.4890512641429,0.0,False,False,False,0.9898210366559193,8,6000,1007,1
8,222,14.215902404150743,False,324.3659310828073,9.0,False,False,True,0.8674952842228797,9,6000,1008,1
9,212,10.98614902299784,False,240.23246273157588,1.0,False,False,True,0.6725040176282341,10,6000,1009,1
10,235,13.328769589064603,True,323.0870412557313,1.0,False,False,False,0.982666690571154,11,6000,1010,1
11,323,10.418324486724266,True,346.8237905590016,28.0,False,False,False,0.9838424919300827,12,6000,1011,1
12,283,13.008466586005715,True,381.4563654240055,5.0,False,False,False,0.9899298386410096,13,6000,1012,1
13,308,10.943239442158987,True,343.09872729680524,12.0,False,False,False,0.9839539111348804,14,6000,1013,1
14,210,11.998358310575162,True,261.8435842437379,0.0,False,False,False,0.9783022139960403,15,6000,1014,1
15,80,10.16130713716508,False,83.46397064973621,1.0,False,False,True,0.15836543536267725,16,6000,1015,1
16,130,10.129130702953658,False,135.91655373079882,1.0,False,False,True,0.4552918990257349,17,6000,1016,1
17,267,12.567644007444013,True,346.6887972309512,0.0,False,False,False,0.9853396889889996,18,6000,1017,1
18,180,14.471373273310649,False,270.0766382039296,1.0,False,False,True,0.6313201258517468,19,6000,1018,1
19,133,10.114039142244458,False,138.96867292890698,1.0,False,False,True,0.4875544628343162,20,6000,1019,1
20,223,10.794039156767893,True,247.8720721590915,0.0,False,False,False,0.9811659306568281,21,6000,1020,1
21,229,14.500904570609785,False,343.5798370551398,3.0,False,False,True,0.8764826377250329,22,6000,1021,1
