ckpt_index,success_rate,crash_rate,crash_count,out_of_road_rate,out_of_road_count,avg_reward,avg_episode_length,avg_velocity,avg_cost,avg_route_completion,num_episodes
6000,0.6,0.1,5,0.4,20,295.7137505325967,231.76,12.230883076088851,3.62,0.81575337686936,50
6200,0.66,0.12,6,0.34,17,305.3044656198319,239.86,12.124829734007164,4.28,0.8328744065192355,50
6400,0.6,0.14,7,0.4,20,297.80092658881836,233.78,12.122868880505044,3.16,0.8183395238021657,50
6600,0.56,0.14,7,0.44,22,297.3858554304886,230.24,12.285956719491686,2.42,0.8091514093394278,50
6800,0.6,0.1,5,0.4,20,307.85805487572406,242.5,12.118894884347949,3.52,0.8413013350753543,50
7000,0.6,0.14,7,0.4,20,294.8383605473889,232.26,12.09059966990802,2.18,0.8113105171036642,50
7200,0.58,0.1,5,0.42,21,305.37181805871666,240.66,12.091369559840308,2.56,0.8338210875773077,50
7400,0.56,0.14,7,0.44,22,297.28295587955813,231.72,12.298409839580454,3.16,0.8186687615799394,50
7600,0.58,0.16,8,0.42,21,293.22892173689905,232.42,12.041188176143097,3.32,0.8088285331013273,50
7800,0.58,0.1,5,0.42,21,294.84847025595025,228.92,12.229785863726299,2.38,0.8024352182910668,50
8000,0.68,0.14,7,0.32,16,307.8664676619387,242.5,12.087785796081763,3.38,0.837551733865707,50
8200,0.64,0.14,7,0.36,18,306.7958832204822,241.64,12.130204422704402,2.74,0.8416362439651547,50
8400,0.66,0.12,6,0.34,17,315.0656189038957,247.5,12.227647516264286,2.52,0.8588014261905411,50
8600,0.6,0.2,10,0.4,20,304.0849109928462,236.44,12.271619531705253,3.34,0.8308368424647159,50
8800,0.64,0.08,4,0.36,18,307.44761544952695,238.32,12.287187806081056,2.64,0.8397329253327414,50
9000,0.72,0.04,2,0.28,14,317.32900231430494,249.8,12.100603902093713,3.72,0.8618654281135472,50
9200,0.66,0.12,6,0.34,17,305.61447401924767,240.48,12.093473679867914,4.4,0.8362387548511765,50
9400,0.66,0.12,6,0.34,17,313.062870722575,245.6,12.185330576256918,2.42,0.8551595864531646,50
9600,0.68,0.1,5,0.32,16,315.7873897939203,247.96,12.218648827689968,4.22,0.8595908961182646,50
9800,0.6,0.12,6,0.4,20,306.35659198107453,239.98,12.214578847564887,2.92,0.8368342584936229,50
10000,0.72,0.08,4,0.28,14,326.1603407272434,257.66,12.112096653303643,2.72,0.8805707089814266,50
