ckpt_index,success_rate,crash_rate,crash_count,out_of_road_rate,out_of_road_count,avg_reward,avg_episode_length,avg_velocity,avg_cost,avg_route_completion,num_episodes
6000,0.68,0.08,4,0.32,16,322.86058865761925,258.8,11.894322943518807,2.86,0.8732140855249848,50
6200,0.62,0.12,6,0.38,19,313.6546030169853,249.98,12.00855363908472,2.78,0.8500029076692247,50
6400,0.66,0.1,5,0.34,17,308.4183561516891,246.9,11.915504959627878,3.04,0.8448874080486749,50
6600,0.72,0.08,4,0.28,14,325.90480723567026,260.62,11.962176590300448,2.98,0.8806221267197685,50
6800,0.78,0.08,4,0.22,11,334.4076065026743,268.26,11.904458482708733,3.02,0.8981888572481993,50
7000,0.8,0.08,4,0.2,10,328.8716665763019,265.64,11.837471725370474,4.98,0.8896798906010757,50
7200,0.68,0.08,4,0.32,16,312.9510555422826,254.54,11.757021985097417,3.16,0.8562718158715552,50
7400,0.68,0.1,5,0.32,16,314.6860025705891,250.06,12.012177982827057,2.6,0.8540060639139736,50
7600,0.7,0.06,3,0.3,15,318.5213145221857,255.96,11.910573476761902,3.32,0.8655879261948124,50
7800,0.66,0.1,5,0.34,17,309.22770605281136,249.9,11.868260893312318,4.12,0.845950643983568,50
8000,0.74,0.04,2,0.26,13,330.216087804724,265.32,11.931894942452502,3.12,0.8920003773839186,50
8200,0.68,0.02,1,0.32,16,318.29264577812387,258.54,11.87929449369483,5.04,0.8679913467424616,50
8400,0.78,0.04,2,0.22,11,334.9571809924471,270.24,11.891780446098714,4.22,0.9060029487443435,50
8600,0.86,0.0,0,0.14,7,345.9957902618037,274.26,12.116107532818893,2.52,0.930535418211354,50
8800,0.7,0.1,5,0.3,15,326.99328421292915,261.24,12.002197312220048,4.24,0.885455349151016,50
9000,0.74,0.1,5,0.26,13,340.57108629359476,273.8,11.92351100599902,3.94,0.9144563856166243,50
9200,0.7,0.06,3,0.3,15,324.25549327121496,257.4,12.060428681603861,5.14,0.8752286297549824,50
9400,0.74,0.04,2,0.26,13,326.5064203787854,259.9,12.01873268594079,3.4,0.880908813750504,50
9600,0.66,0.1,5,0.34,17,316.7784261374827,252.06,12.030625891963558,4.44,0.8535744597444697,50
9800,0.68,0.06,3,0.32,16,328.98096202343834,265.26,11.933473458735307,3.18,0.8955094890098798,50
10000,0.74,0.06,3,0.26,13,323.49492568639687,259.82,11.913371972290106,3.48,0.8800042122553668,50
