,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,crash_object,crash_building,crash_sidewalk,first_crash_step,first_crash_vehicle_step,first_out_of_road_step,crash_vehicle_steps,out_of_road_steps,route_completion,episode,ckpt_index,env_id,num_ep_in_one_env
0,248,12.305583501518775,True,316.8830587222152,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.981766601877861,1,6000,1000,1
1,168,9.707637370417356,False,170.6375531924546,1.0,True,True,False,False,False,False,168,168,-1,1,0,0.5712926591913011,2,6000,1001,1
2,222,13.040241396455409,False,300.8540117836321,1.0,True,True,False,False,False,False,222,222,-1,1,0,0.7584202901622333,3,6000,1002,1
3,330,12.630986593354939,True,431.0396922491185,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9911373638410479,4,6000,1003,1
4,199,14.275099864231333,False,294.2017974263769,1.0,True,True,False,False,False,False,199,199,-1,1,0,0.596403465090897,5,6000,1004,1
5,311,10.159656587974496,False,328.47052181492023,1.0,True,True,False,False,False,False,311,311,-1,1,0,0.8674940891292775,6,6000,1005,1
6,305,13.611091559624926,True,429.82319263036806,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9913266539582674,7,6000,1006,1
7,335,12.342493409466108,True,431.08657973427927,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9901690610298682,8,6000,1007,1
8,175,14.073511601317175,False,255.32281202840863,1.0,True,True,False,False,False,False,175,175,-1,1,0,0.7006079470697535,9,6000,1008,1
9,283,12.146737891527263,True,356.4100017873313,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.988319408760821,10,6000,1009,1
10,254,12.339384576139398,True,323.85798674834973,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9838588943540341,11,6000,1010,1
11,119,9.743673022179383,False,120.43278475934362,1.0,True,True,False,False,False,False,119,119,-1,1,0,0.3410466946834181,12,6000,1011,1
12,103,11.13684659620957,False,117.76736138219836,1.0,True,True,False,False,False,False,103,103,-1,1,0,0.3201772380616532,13,6000,1012,1
13,316,10.340617830765623,True,337.5108122550819,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9840954307620995,14,6000,1013,1
14,218,11.58716367350985,True,263.28412014258794,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.981385727519618,15,6000,1014,1
15,406,13.548249609186717,True,571.0913440755729,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9916872386484832,16,6000,1015,1
16,252,11.795953782942783,True,308.9086036943776,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9874528040391866,17,6000,1016,1
17,265,12.538652535634156,True,345.20049439721004,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9880460142982448,18,6000,1017,1
18,333,12.680124960463791,True,439.88274002930575,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9899860726962281,19,6000,1018,1
19,241,11.897089442009305,True,298.94635000853197,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9866025684436965,20,6000,1019,1
20,222,10.693250935707809,True,247.98924246873975,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9811092192107679,21,6000,1020,1
21,231,14.434482103801331,False,344.7619158605837,1.0,True,True,False,False,False,False,231,231,-1,1,0,0.8818831115957105,22,6000,1021,1
22,285,14.133857691247862,True,418.83902182367297,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9903705494604832,23,6000,1022,1
23,249,12.102607169334297,True,314.2811010103052,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9857133262953132,24,6000,1023,1
24,163,14.292634231867234,False,241.0604437087986,1.0,True,False,True,False,False,True,163,-1,163,0,1,0.47593802101278665,25,6000,1024,1
25,211,11.606909166549563,True,256.1293902133115,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9883688767743494,26,6000,1025,1
26,276,12.791698367708824,False,361.8693657154431,1.0,False,False,True,False,False,False,-1,-1,276,0,1,0.7344066716223875,27,6000,1026,1
