ckpt_index,success_rate,crash_rate,crash_count,vehicle_crash_rate,vehicle_crash_count,out_of_road_rate,out_of_road_count,avg_reward,avg_episode_length,avg_velocity,avg_cost,avg_route_completion,num_episodes
6000,0.58,0.32,16,0.3,15,0.12,6,291.98358381059904,229.48,12.169807036836847,0.42,0.8082110652938512,50
6200,0.52,0.3,15,0.28,14,0.2,10,290.3751427471415,224.68,12.327849399669033,0.48,0.8008976392401685,50
6400,0.52,0.32,16,0.3,15,0.18,9,288.1247469903912,222.94,12.34689460598928,0.48,0.7960275710033108,50
6600,0.46,0.32,16,0.28,14,0.26,13,276.3573823594255,215.62,12.245827026361562,0.54,0.7744543358460209,50
6800,0.52,0.28,14,0.24,12,0.24,12,287.7336521355604,224.56,12.25337620530769,0.48,0.7967445116825627,50
7000,0.54,0.34,17,0.3,15,0.16,8,282.89138477599636,221.42,12.190797033979043,0.46,0.7858452642193202,50
7200,0.46,0.42,21,0.38,19,0.16,8,270.2327647992726,213.88,12.06576497468176,0.54,0.7557276054131222,50
7400,0.42,0.42,21,0.38,19,0.2,10,267.804148786768,210.64,12.179946390226567,0.58,0.7580947080036314,50
7600,0.52,0.4,20,0.38,19,0.1,5,281.59840965572056,222.4,12.147267776405865,0.48,0.7920721502501782,50
7800,0.5,0.4,20,0.38,19,0.12,6,272.36510760509384,212.18,12.241846305877123,0.5,0.7640698661220655,50
8000,0.54,0.32,16,0.28,14,0.18,9,283.0606069894892,220.74,12.25474140804139,0.46,0.792677716916751,50
