,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,crash_object,crash_building,crash_sidewalk,first_crash_step,first_crash_vehicle_step,first_out_of_road_step,crash_vehicle_steps,out_of_road_steps,route_completion,rss_unsafe_steps,rss_longitudinal_unsafe_steps,rss_lateral_unsafe_steps,rss_shield_steps,rss_longitudinal_shield_steps,rss_lateral_shield_steps,rss_first_unsafe_step,rss_first_longitudinal_unsafe_step,rss_first_lateral_unsafe_step,rss_first_shield_step,rss_first_lateral_shield_step,episode,ckpt_index,env_id,num_ep_in_one_env
0,361,8.33846683776968,True,313.1388796766443,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9873057450337122,61,32,41,52,32,30,70,70,112,71,113,1,6000,1000,1
1,318,9.116495977631509,True,304.41011749352765,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9867497648476445,12,11,4,12,11,4,143,143,148,144,149,2,6000,1001,1
2,433,8.737524654598023,True,393.1719573136891,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9886393774517253,107,0,107,72,0,72,94,-1,94,113,113,3,6000,1002,1
3,492,8.355720804760795,True,426.17822034135105,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9897038020808906,75,42,34,69,42,27,55,55,154,56,155,4,6000,1003,1
4,453,10.411557049144285,True,489.64315323063323,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9913517254694175,50,50,0,50,50,0,113,113,-1,114,-1,5,6000,1004,1
5,419,8.54084581658024,True,371.24411787169873,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9846658933033842,38,30,13,36,30,11,97,97,276,98,277,6,6000,1005,1
6,484,8.534541016475098,True,427.7603555413912,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9888977774166587,94,16,78,71,16,55,55,55,237,56,241,7,6000,1006,1
7,431,9.49882836978283,True,424.7993255191126,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9892072563715232,47,8,39,42,8,34,106,106,254,107,257,8,6000,1007,1
8,291,10.562369766898065,False,319.77200494261075,1.0,True,True,False,False,False,False,291,291,-1,1,0,0.860101392674175,39,33,6,39,33,6,103,103,283,104,284,9,6000,1008,1
9,347,9.863867287559072,True,355.49872443733216,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9859265479414968,24,24,0,24,24,0,185,185,-1,186,-1,10,6000,1009,1
10,380,8.164682453425693,True,321.78314461297776,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9833599262667081,57,28,31,48,28,20,67,107,67,72,72,11,6000,1010,1
11,424,7.931648488302367,True,347.08570973316245,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9858996675812914,60,38,22,50,38,12,42,42,275,43,281,12,6000,1011,1
12,442,8.17526725772994,True,374.3709524395698,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9892391599775942,89,51,41,78,51,28,47,47,104,48,105,13,6000,1012,1
13,443,7.368455615950428,True,340.9246936200987,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9857769834928258,58,47,12,55,47,9,68,68,366,69,368,14,6000,1013,1
