ckpt_index,success_rate,crash_rate,crash_count,vehicle_crash_rate,vehicle_crash_count,out_of_road_rate,out_of_road_count,avg_reward,avg_episode_length,avg_velocity,avg_cost,avg_route_completion,num_episodes
6000,0.88,0.08,4,0.08,4,0.04,2,353.72930729712624,383.96,9.078680706608129,0.12,0.9576531147112901,50
6200,0.84,0.1,5,0.08,4,0.08,4,343.6977758581736,368.68,9.257329821274228,0.16,0.9366539621011324,50
6400,0.82,0.1,5,0.1,5,0.08,4,332.27176446401046,352.98,9.284740714445064,0.18,0.9140266342957594,50
6600,0.86,0.1,5,0.08,4,0.06,3,346.77646988448964,370.36,9.313601305699978,0.14,0.9403944178314076,50
6800,0.88,0.08,4,0.06,3,0.06,3,346.2384353444585,370.56,9.339436221987636,0.12,0.9385618616195156,50
7000,0.9,0.04,2,0.04,2,0.06,3,346.7124686591312,369.9,9.242381461583314,0.1,0.9480250696378816,50
7200,0.84,0.08,4,0.08,4,0.08,4,340.0770798492775,364.24,9.217868784035016,0.16,0.926151739799231,50
7400,0.8,0.14,7,0.12,6,0.08,4,330.096956072291,354.06,9.29979056184692,0.2,0.9038838296736728,50
7600,0.92,0.06,3,0.04,2,0.04,2,352.0545923100887,379.84,9.170182162796559,0.08,0.9569789284057341,50
7800,0.9,0.06,3,0.06,3,0.04,2,351.9835437284231,379.2,9.209360552691354,0.1,0.9498228210498315,50
8000,0.94,0.06,3,0.06,3,0.0,0,360.243436029416,387.2,9.168112017215726,0.06,0.9748639609299015,50
