,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,crash_object,crash_building,crash_sidewalk,first_crash_step,first_crash_vehicle_step,first_out_of_road_step,crash_vehicle_steps,out_of_road_steps,route_completion,rss_unsafe_steps,rss_longitudinal_unsafe_steps,rss_lateral_unsafe_steps,rss_shield_steps,rss_longitudinal_shield_steps,rss_lateral_shield_steps,rss_spring_soft_steps,rss_longitudinal_spring_soft_steps,rss_lateral_spring_soft_steps,rss_first_unsafe_step,rss_first_longitudinal_unsafe_step,rss_first_lateral_unsafe_step,rss_first_shield_step,rss_first_lateral_shield_step,rss_first_spring_soft_step,episode,ckpt_index,env_id,num_ep_in_one_env
0,360,8.373121288062269,True,312.6134940344728,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9850072819492864,50,35,23,79,35,19,30,20,12,70,70,124,70,125,70,1,6000,1000,1
1,318,9.116517097089757,True,304.41076562546584,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9867518382954579,12,11,4,12,11,4,0,0,0,143,143,148,144,149,-1,2,6000,1001,1
2,433,8.715157684478601,True,392.7050749835785,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9875976019302676,113,0,113,78,0,77,1,0,1,94,-1,94,113,113,144,3,6000,1002,1
3,492,8.351010692178185,True,426.76208483361285,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9904243968010054,78,40,39,113,40,28,46,35,11,55,55,155,56,156,61,4,6000,1003,1
4,453,10.420200632810511,True,489.96948241028537,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9921289238410507,49,49,0,110,49,0,61,61,0,113,113,-1,113,-1,113,5,6000,1004,1
5,411,8.67034506770311,True,371.53237995457226,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9872348738145366,30,30,0,49,30,0,19,19,0,97,97,-1,97,-1,97,6,6000,1005,1
6,477,8.65033572576857,True,427.5757076752826,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9898253298325834,83,18,65,105,18,55,32,27,5,56,56,239,54,241,54,7,6000,1006,1
7,431,9.452714247634855,True,424.6349472746399,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9890285397484594,44,8,36,42,8,29,6,6,0,106,106,258,107,259,342,8,6000,1007,1
8,290,10.608828891471271,False,320.21959610639,1.0,True,True,False,False,False,False,290,290,-1,1,0,0.8619157063308741,39,33,6,74,33,6,35,35,0,104,104,282,102,283,102,9,6000,1008,1
9,348,9.83154221362829,True,355.3362392289874,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.985483967600864,24,24,0,67,24,0,43,43,0,185,185,-1,185,-1,185,10,6000,1009,1
