ckpt_index,success_rate,crash_rate,crash_count,vehicle_crash_rate,vehicle_crash_count,out_of_road_rate,out_of_road_count,avg_reward,avg_episode_length,avg_velocity,avg_cost,avg_route_completion,num_episodes
6000,0.9,0.06,3,0.04,2,0.06,3,350.9716155447993,379.74,9.144793136575531,0.1,0.9574675264634237,50
6200,0.88,0.04,2,0.04,2,0.08,4,346.3252962195631,374.64,9.134522623525447,0.12,0.9408868868717849,50
6400,0.9,0.06,3,0.06,3,0.04,2,352.0245841910413,381.52,9.14458167080463,0.1,0.9492829245727257,50
6600,0.88,0.08,4,0.08,4,0.04,2,347.236430987827,375.16,9.188163212097427,0.12,0.9370616085597082,50
6800,0.9,0.06,3,0.06,3,0.04,2,353.47585595658734,381.12,9.185237421177861,0.1,0.9557321012538597,50
7000,0.9,0.06,3,0.06,3,0.04,2,347.5655752459076,374.88,9.125221634797962,0.1,0.9480341279534895,50
7200,0.88,0.06,3,0.06,3,0.06,3,349.6176656917133,378.02,9.180425716782747,0.12,0.9469133332086146,50
7400,0.82,0.1,5,0.08,4,0.1,5,332.5942893668227,356.54,9.237735834761446,0.18,0.9115711890544602,50
7600,0.9,0.06,3,0.06,3,0.04,2,353.6783376843349,381.56,9.174617816329144,0.1,0.9571327493838784,50
7800,0.92,0.04,2,0.04,2,0.04,2,354.2691078018038,384.14,9.11505906830734,0.08,0.9569054190971371,50
8000,0.94,0.06,3,0.06,3,0.0,0,360.5360191717014,389.46,9.120110016921675,0.06,0.9750822088508388,50
