ckpt_index,success_rate,crash_rate,crash_count,out_of_road_rate,out_of_road_count,avg_reward,avg_episode_length,avg_velocity,avg_cost,avg_route_completion,num_episodes
6000,0.78,0.04,2,0.22,11,330.2658374451704,262.76,12.09773694720709,4.98,0.9023028262258331,50
6200,0.82,0.02,1,0.18,9,339.565547620625,266.32,12.239265645886874,2.64,0.913503692298527,50
6400,0.72,0.02,1,0.28,14,326.01913920588237,254.82,12.319990289160227,2.48,0.8842753796866514,50
6600,0.74,0.02,1,0.26,13,327.6434874793751,254.14,12.330011948454388,2.48,0.8847811658122204,50
6800,0.72,0.04,2,0.28,14,315.032760082042,248.18,12.215382614018829,2.04,0.8640239495823475,50
7000,0.72,0.08,4,0.28,14,319.63943978301864,253.06,12.143085470913883,3.14,0.8752959204182137,50
7200,0.78,0.04,2,0.22,11,330.2620903062149,264.96,12.020824945632818,4.9,0.8955852587284008,50
7400,0.74,0.12,6,0.26,13,330.5137626031849,263.04,12.088726965249855,5.22,0.8910334757101965,50
7600,0.82,0.06,3,0.18,9,332.95120229829604,265.68,12.102938464350277,3.58,0.905288681793912,50
7800,0.76,0.02,1,0.24,12,328.6030332635589,257.0,12.30888722722207,3.32,0.8972682512268644,50
8000,0.82,0.06,3,0.18,9,333.6618326474626,263.22,12.226327923433741,3.74,0.910291384117622,50
8200,0.8,0.02,1,0.2,10,336.58613971485516,263.68,12.30371284135969,4.2,0.9128405403488435,50
8400,0.86,0.06,3,0.14,7,346.4900946307391,274.36,12.170847115104886,1.88,0.9381866514188566,50
8600,0.86,0.02,1,0.14,7,343.67741834687433,269.58,12.276353458718244,2.26,0.9321354897885211,50
8800,0.78,0.04,2,0.22,11,326.52423593449765,256.78,12.215731569979415,3.78,0.8948960427585372,50
9000,0.86,0.06,3,0.14,7,340.6878609187152,270.82,12.122392980852291,2.1,0.9314083170679638,50
9200,0.86,0.02,1,0.14,7,347.18629978047966,268.06,12.42467594475079,2.3,0.93160322169852,50
9400,0.74,0.06,3,0.26,13,327.41512262252917,252.22,12.426551163735242,1.9,0.8938279895529218,50
9600,0.78,0.02,1,0.22,11,328.7393777542846,257.06,12.273818660954635,2.24,0.8969283950257908,50
9800,0.86,0.04,2,0.14,7,346.73464585762673,271.4,12.282681776917752,1.66,0.9428457588655205,50
10000,0.74,0.06,3,0.26,13,321.51375901844244,252.58,12.172695714633662,1.92,0.880402830018255,50
