,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,route_completion,rss_unsafe_steps,rss_longitudinal_unsafe_steps,rss_lateral_unsafe_steps,rss_shield_steps,rss_longitudinal_shield_steps,rss_lateral_shield_steps,rss_first_unsafe_step,rss_first_longitudinal_unsafe_step,rss_first_lateral_unsafe_step,rss_first_shield_step,rss_first_lateral_shield_step,episode,ckpt_index,env_id,num_ep_in_one_env
0,364,8.28749045645141,True,314.2517352167755,0.0,False,False,False,0.987831881670191,53,29,30,53,29,30,70,70,112,71,113,1,6000,1000,1
1,318,9.116515504435121,True,304.4107719645174,0.0,False,False,False,0.9867518460513018,12,11,4,12,11,4,143,143,148,144,149,2,6000,1001,1
2,453,8.328593616236088,True,392.2756494589914,0.0,False,False,False,0.9880068493798936,86,5,81,86,5,81,94,153,94,95,95,3,6000,1002,1
3,492,8.335434363239484,True,425.8340396439688,0.0,False,False,False,0.9899060506382769,72,42,30,72,42,30,55,55,154,56,155,4,6000,1003,1
4,453,10.410262969130066,True,489.6491270120812,0.0,False,False,False,0.9909471370003257,50,50,0,50,50,0,113,113,-1,114,-1,5,6000,1004,1
5,418,8.552440583745534,True,369.74955576514554,0.0,False,False,False,0.9849656616213301,38,30,14,38,30,14,97,97,280,98,281,6,6000,1005,1
6,469,8.806033683160301,True,427.86713608570426,0.0,False,False,False,0.9895579852181496,70,16,54,70,16,54,55,55,237,56,238,7,6000,1006,1
7,432,9.430220068391176,True,425.1322649017564,0.0,False,False,False,0.9901952545392939,42,8,35,42,8,35,106,106,254,107,255,8,6000,1007,1
8,437,8.553908815113335,True,371.57264279297596,2.0,False,False,False,0.9868393163178696,39,33,6,39,33,6,103,103,283,104,284,9,6000,1008,1
9,347,9.863897359410231,True,355.4998988949411,0.0,False,False,False,0.9859297728772909,24,24,0,24,24,0,185,185,-1,186,-1,10,6000,1009,1
10,386,8.054777084824952,True,322.06920460955433,0.0,False,False,False,0.9856008507451719,46,37,9,46,37,9,67,113,67,68,68,11,6000,1010,1
11,425,7.910316643913815,True,347.0066520843884,0.0,False,False,False,0.9860973573791566,47,37,10,47,37,10,42,42,275,43,276,12,6000,1011,1
12,467,7.732798352654129,True,373.1376438571834,0.0,False,False,False,0.9899919975411218,80,55,28,80,55,28,47,47,104,48,105,13,6000,1012,1
13,443,7.376292333545668,True,340.17910089095,0.0,False,False,False,0.9844833303737014,53,50,5,53,50,5,68,68,367,69,368,14,6000,1013,1
14,220,11.480645491881214,True,263.24576638008114,0.0,False,False,False,0.981197055920819,1,1,0,1,1,0,181,181,-1,182,-1,15,6000,1014,1
15,698,7.775704403182528,True,564.338662594011,0.0,False,False,False,0.9918619618073986,93,70,24,93,70,24,73,73,84,74,85,16,6000,1015,1
16,280,10.721413358077942,True,312.6955738427899,0.0,False,False,False,0.9872829894353781,18,2,16,18,2,16,148,170,148,149,149,17,6000,1016,1
17,386,8.625675979888015,True,345.01739070231224,0.0,False,False,False,0.9862037037412419,45,32,13,45,32,13,38,38,294,39,295,18,6000,1017,1
18,378,11.002803764664773,True,432.940092140008,0.0,False,False,False,0.9887947447269695,64,11,54,63,11,53,104,104,176,105,177,19,6000,1018,1
19,276,10.265289731535848,True,295.6051815602087,0.0,False,False,False,0.9859692301922031,21,21,0,21,21,0,126,126,-1,127,-1,20,6000,1019,1
20,297,7.8597681311081535,True,242.1145016522095,0.0,False,False,False,0.9825842927922186,37,5,32,37,5,32,69,69,125,70,126,21,6000,1020,1
21,406,9.18726713306663,True,386.1142643266058,0.0,False,False,False,0.9895921515523995,51,49,3,51,49,3,100,100,115,101,116,22,6000,1021,1
22,393,10.163980520578473,True,415.6042199066911,0.0,False,False,False,0.988992401643603,53,21,32,53,21,32,164,228,164,165,165,23,6000,1022,1
23,165,9.01761371377125,False,154.98673903309964,1.0,False,False,True,0.5030913605964,17,0,17,17,0,17,124,-1,124,125,125,24,6000,1023,1
24,531,9.246260506609278,True,509.4321602918148,0.0,False,False,False,0.9917834594470071,112,0,112,112,0,112,135,-1,135,136,136,25,6000,1024,1
25,236,10.342401682921873,True,255.59538803835576,0.0,False,False,False,0.9864524032871589,13,13,0,13,13,0,145,145,-1,146,-1,26,6000,1025,1
26,620,7.5362954881711515,True,483.4943095826555,0.0,False,False,False,0.990752914691053,87,79,8,87,79,8,37,37,234,38,235,27,6000,1026,1
27,404,8.119764124546549,True,340.0115597875686,0.0,False,False,False,0.98741314407647,78,0,78,78,0,78,88,-1,88,89,89,28,6000,1027,1
28,215,10.436789595917292,True,233.84418302107667,0.0,False,False,False,0.9792691881247554,17,17,0,17,17,0,80,80,-1,81,-1,29,6000,1028,1
29,250,10.396211970878689,True,271.45166788804084,0.0,False,False,False,0.980765870066725,18,0,18,18,0,18,170,-1,170,171,171,30,6000,1029,1
30,287,10.378900947665539,True,311.8431247612182,0.0,False,False,False,0.984910372007741,9,0,9,9,0,9,236,-1,236,237,237,31,6000,1030,1
31,516,8.680406181486834,True,463.8829104373331,0.0,False,False,False,0.9902886922666221,95,3,92,95,3,92,93,445,93,94,94,32,6000,1031,1
32,336,8.151235468303053,True,286.32989028287307,0.0,False,False,False,0.9830757952077136,74,0,74,74,0,74,107,-1,107,108,108,33,6000,1032,1
33,346,10.472685845061255,True,375.52471298479867,0.0,False,False,False,0.9884772855713875,39,39,0,39,39,0,102,102,-1,103,-1,34,6000,1033,1
34,770,6.7067656360092425,True,533.5688247554943,0.0,False,False,False,0.9895854432350619,186,18,168,186,18,168,69,171,69,70,70,35,6000,1034,1
35,398,9.213285975807333,True,381.58746917569414,0.0,False,False,False,0.9866329123635997,40,40,0,40,40,0,84,84,-1,85,-1,36,6000,1035,1
36,364,7.248288851508179,True,273.9604775531263,0.0,False,False,False,0.9821941684005436,49,34,15,49,34,15,37,37,136,38,137,37,6000,1036,1
37,324,10.26229134623596,True,345.1921043789148,0.0,False,False,False,0.9863240143127091,31,12,19,31,12,19,168,168,231,169,232,38,6000,1037,1
38,500,8.098786801485447,True,419.5149770235849,2.0,False,False,False,0.9907663380144588,85,41,44,85,41,44,100,100,265,101,266,39,6000,1038,1
39,366,8.240233505831059,True,315.1315829579191,0.0,False,False,False,0.985032598602099,56,3,54,56,3,54,103,265,103,104,104,40,6000,1039,1
40,158,10.266468206844895,False,168.79968386903136,1.0,False,False,True,0.4888474132185762,1,1,0,1,1,0,122,122,-1,123,-1,41,6000,1040,1
