,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,route_completion,episode,ckpt_index,env_id,num_ep_in_one_env
0,323,9.484489092722418,True,316.2201372648972,2.0,False,False,False,0.9855055378638987,1,6000,1000,1
1,318,9.115058272372348,True,304.2402756402107,0.0,False,False,False,0.9871884977661011,2,6000,1001,1
2,354,10.664959727740777,True,393.01921432185213,0.0,False,False,False,0.987482939583998,3,6000,1002,1
3,433,9.53073083550872,True,428.5338282487201,0.0,False,False,False,0.9901822924900482,4,6000,1003,1
4,453,10.411305576500848,True,489.58190990599826,0.0,False,False,False,0.99139337999582,5,6000,1004,1
5,420,8.51378647387482,True,369.94486148866963,0.0,False,False,False,0.98569650527768,6,6000,1005,1
6,279,10.097722817118399,False,291.6459981238796,1.0,True,False,True,0.6782395162176952,7,6000,1006,1
7,309,12.355499722814754,False,398.1614649738795,7.0,True,False,True,0.9107760054868927,8,6000,1007,1
8,294,10.570259800057574,False,322.08230375687015,4.0,True,True,True,0.8657626467886088,9,6000,1008,1
9,348,9.852892587665554,True,356.1421443927797,0.0,False,False,False,0.9876719116608023,10,6000,1009,1
10,369,8.424527387427439,True,321.26851285711336,0.0,False,False,False,0.9873056824386773,11,6000,1010,1
11,340,8.966160785573697,False,314.1725582665437,5.0,False,False,True,0.8824966463030333,12,6000,1011,1
12,430,8.404484689009102,True,373.34448762721865,0.0,False,False,False,0.9898140075731748,13,6000,1012,1
13,441,7.414095375124997,True,340.612851843586,0.0,False,False,False,0.9862793188866066,14,6000,1013,1
14,220,11.480662872410377,True,263.24668460051873,0.0,False,False,False,0.9811997533173448,15,6000,1014,1
15,450,8.492149336330417,False,396.66735531548136,1.0,True,False,True,0.7036185770629887,16,6000,1015,1
16,258,11.465586794112417,True,308.51175915794215,0.0,False,False,False,0.9867886058196931,17,6000,1016,1
17,366,9.139194175051683,True,346.94890532350865,0.0,False,False,False,0.9882991580861542,18,6000,1017,1
18,344,12.126684882047345,True,433.83552848736684,0.0,False,False,False,0.9892236827524773,19,6000,1018,1
19,276,10.263916393617723,True,295.56651016619907,0.0,False,False,False,0.9858525097714831,20,6000,1019,1
20,234,10.224674561867815,True,248.589878844879,4.0,False,False,False,0.982394704514759,21,6000,1020,1
21,407,9.156655021922358,True,385.5555842993945,0.0,False,False,False,0.9883895029776258,22,6000,1021,1
22,377,10.632006431991204,True,416.90167352830343,0.0,False,False,False,0.9895477076436453,23,6000,1022,1
23,265,11.326158359643266,True,311.91761457832484,0.0,False,False,False,0.9843803044067901,24,6000,1023,1
24,163,14.272960227018364,False,240.8224346806099,1.0,True,False,True,0.47543514295228234,25,6000,1024,1
25,236,10.34241026513698,True,255.5956224687508,0.0,False,False,False,0.9864532475312675,26,6000,1025,1
26,620,7.5279144076951345,True,480.1044198611623,0.0,False,False,False,0.9908630846186766,27,6000,1026,1
27,265,12.464122249047676,True,342.4887918612086,0.0,False,False,False,0.9855059860674668,28,6000,1027,1
28,215,10.436463611867826,True,233.83679997158714,0.0,False,False,False,0.9792383289727229,29,6000,1028,1
29,209,12.470053833449741,True,271.98386598997024,0.0,False,False,False,0.9826598466001111,30,6000,1029,1
30,268,11.122577276777989,True,311.8248150507013,0.0,False,False,False,0.9849303146673067,31,6000,1030,1
31,448,10.022556788746504,True,464.81354715443007,0.0,False,False,False,0.9908601439576992,32,6000,1031,1
32,143,11.368099053161579,False,167.16641639050997,1.0,False,False,True,0.5712988273189019,33,6000,1032,1
33,345,10.497416087593873,True,375.3230337549321,0.0,False,False,False,0.9879663888308995,34,6000,1033,1
34,179,10.008183729729456,False,183.7901987008878,1.0,False,False,True,0.3334907711771446,35,6000,1034,1
35,398,9.21178566287097,True,381.5231952431733,0.0,False,False,False,0.9864662669503921,36,6000,1035,1
36,302,8.681403890412973,True,273.0518610891678,0.0,False,False,False,0.9829582785134434,37,6000,1036,1
37,289,11.515200904077897,True,344.8667570414172,0.0,False,False,False,0.9854294490829875,38,6000,1037,1
38,477,8.418906388125876,True,414.8090456797228,0.0,False,False,False,0.9892883998898194,39,6000,1038,1
39,299,10.122099624583047,True,315.388198992535,0.0,False,False,False,0.9875902105282416,40,6000,1039,1
40,292,11.07808004192485,True,338.16958561559676,0.0,False,False,False,0.9877163105990359,41,6000,1040,1
41,365,7.892750411028704,True,297.5870656806739,0.0,False,False,False,0.9903451676133773,42,6000,1041,1
42,215,13.057706308376991,True,293.9900238602378,0.0,False,False,False,0.9881646201838675,43,6000,1042,1
43,519,8.477804594190273,True,456.50146393443725,0.0,False,False,False,0.990002163871283,44,6000,1043,1
44,232,11.977683381942104,True,288.6483319542415,0.0,False,False,False,0.9825162345850444,45,6000,1044,1
45,490,8.460547116499676,True,429.5188305306422,0.0,False,False,False,0.9900748991798388,46,6000,1045,1
46,512,10.30442060393209,True,548.7805811478548,2.0,False,False,False,0.9925489969614134,47,6000,1046,1
47,269,8.188361859983177,True,230.26525359974994,0.0,False,False,False,0.9798975571791037,48,6000,1047,1
48,446,8.572022741324492,True,397.6438233807748,0.0,False,False,False,0.985888295354513,49,6000,1048,1
49,272,12.152301074551179,True,342.92284145140064,0.0,False,False,False,0.9871279705402505,50,6000,1049,1
0,323,9.45705248980298,True,315.3212199178532,2.0,False,False,False,0.9826681113599001,1,6200,1000,1
1,304,9.556794403543856,True,302.62450465498057,0.0,False,False,False,0.9848880044018332,2,6200,1001,1
2,352,10.758274326715421,True,393.8269670128575,0.0,False,False,False,0.9885353505605998,3,6200,1002,1
3,432,9.551746481596943,True,428.2516697830853,0.0,False,False,False,0.9884950003247981,4,6200,1003,1
4,454,10.406727174839583,True,490.7296938035895,0.0,False,False,False,0.9909535402298427,5,6200,1004,1
5,404,8.815637184432779,True,371.01366073112615,0.0,False,False,False,0.9861634019685982,6,6200,1005,1
6,263,10.25338046752269,False,279.55735625898467,1.0,True,False,True,0.6491104479067655,7,6200,1006,1
7,307,12.434492473019002,False,396.78455722619543,9.0,True,False,True,0.9102104042886381,8,6200,1007,1
8,294,10.528441479240508,False,320.60225248294273,2.0,True,True,True,0.8632542308185507,9,6200,1008,1
9,345,9.936135082747235,True,356.2039361291803,0.0,False,False,False,0.9854660577120478,10,6200,1009,1
10,371,8.380046401761014,True,321.0241629320722,0.0,False,False,False,0.9874768036812792,11,6200,1010,1
11,423,7.8237998400170685,True,342.30512886762637,0.0,False,False,False,0.9892462532569213,12,6200,1011,1
12,430,8.419814423129118,True,374.6674424916066,0.0,False,False,False,0.9890625422924711,13,6200,1012,1
13,443,7.422473983991202,True,339.1737987414458,0.0,False,False,False,0.9889014079214418,14,6200,1013,1
14,219,11.509135988949804,True,262.16881563913483,0.0,False,False,False,0.9809440487688578,15,6200,1014,1
15,575,9.294961939069134,True,555.3682974018546,0.0,False,False,False,0.9913110645891533,16,6200,1015,1
16,253,11.723762008185368,True,308.0461481490858,0.0,False,False,False,0.9848404653531843,17,6200,1016,1
17,365,9.183260425774744,True,346.75332019455664,2.0,False,False,False,0.9876126751166749,18,6200,1017,1
18,343,12.139015564250679,True,434.12514864128815,0.0,False,False,False,0.9897719583277237,19,6200,1018,1
19,273,10.37255318438129,True,294.48512181249976,0.0,False,False,False,0.9861831160169793,20,6200,1019,1
20,235,10.086012085799206,True,246.1747268321314,0.0,False,False,False,0.982764802031078,21,6200,1020,1
21,404,9.239050951715836,True,386.295027651199,0.0,False,False,False,0.9895351917414688,22,6200,1021,1
22,325,12.361895690427463,True,416.70437038936524,0.0,False,False,False,0.9911889985941463,23,6200,1022,1
23,119,10.95817904731534,False,134.85900354086925,1.0,False,False,True,0.43969401107201295,24,6200,1023,1
24,408,12.077676650325861,True,512.5820831081531,2.0,False,False,False,0.9912359323814198,25,6200,1024,1
25,236,10.382558470720681,True,255.90930030512848,0.0,False,False,False,0.9866833833421004,26,6200,1025,1
26,620,7.524560316102866,True,480.36284096880433,0.0,False,False,False,0.9917307746817752,27,6200,1026,1
27,268,12.300711480367474,True,342.67911901638394,0.0,False,False,False,0.9870648250781988,28,6200,1027,1
