,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,route_completion,episode,ckpt_index,env_id,num_ep_in_one_env,method
0,334,9.11222950636165,True,317.5287366506681,0.0,False,False,False,0.985989186778283,1,8000,1000,1,ppl_rss_cbf
1,162,9.905717313846727,False,167.1527847069368,1.0,True,False,True,0.5604752178695712,2,8000,1001,1,ppl_rss_cbf
2,355,10.737861958806105,True,396.3301012562221,0.0,False,False,False,0.9888930908298107,3,8000,1002,1,ppl_rss_cbf
3,354,11.851863268863971,True,435.50261181416226,5.0,False,False,False,0.9904724049917779,4,8000,1003,1,ppl_rss_cbf
4,165,13.337652130997377,False,226.87610383657503,1.0,False,False,True,0.45319099911686245,5,8000,1004,1,ppl_rss_cbf
5,319,10.012704219254632,False,328.86170466696666,8.0,False,False,True,0.881187660699903,6,8000,1005,1,ppl_rss_cbf
6,221,11.043252496793494,False,251.6043498919388,1.0,True,False,True,0.5792982519004173,7,8000,1006,1,ppl_rss_cbf
7,424,9.728477358431794,True,427.5417616521373,0.0,False,False,False,0.9891769371101758,8,8000,1007,1,ppl_rss_cbf
8,347,10.374892323894846,True,373.7898885440055,0.0,False,False,False,0.986528902770703,9,8000,1008,1,ppl_rss_cbf
9,216,10.903936129486413,False,243.18320161313724,1.0,False,False,True,0.6811792595394925,10,8000,1009,1,ppl_rss_cbf
10,488,6.398805887831781,True,322.08182251744245,2.0,False,False,False,0.9855289304018563,11,8000,1010,1,ppl_rss_cbf
11,424,7.825676970497226,True,348.0479455268443,0.0,False,False,False,0.9851402417276551,12,8000,1011,1,ppl_rss_cbf
12,271,10.091096603821951,False,282.18360118076964,3.0,False,False,True,0.7480047614884672,13,8000,1012,1,ppl_rss_cbf
13,164,11.82732528221343,False,200.48516214651082,1.0,False,False,True,0.5839260132637342,14,8000,1013,1,ppl_rss_cbf
14,215,11.767649279134842,True,263.34528478848085,0.0,False,False,False,0.9819760864446938,15,8000,1014,1,ppl_rss_cbf
15,508,10.764968255184574,True,564.7722324869588,0.0,False,False,False,0.9919508439935489,16,8000,1015,1,ppl_rss_cbf
16,127,9.887279406100024,False,130.26848260406004,1.0,False,False,True,0.43833469628487903,17,8000,1016,1,ppl_rss_cbf
