ckpt_index,method,success_rate,crash_rate,crash_count,out_of_road_rate,out_of_road_count,avg_reward,avg_episode_length,avg_velocity,avg_cost,avg_route_completion,num_episodes
6000,ppl_rss_mpc,0.68,0.04,2,0.24,12,315.4149376433695,455.56,8.911757511319193,1.58,0.8681628213975151,50
6200,ppl_rss_mpc,0.76,0.06,3,0.22,11,324.6704088876185,360.42,9.644947002100206,1.92,0.8779593703409546,50
6400,ppl_rss_mpc,0.64,0.06,3,0.32,16,313.1841595172575,377.38,9.536322736922733,2.04,0.8464421591591236,50
6600,ppl_rss_mpc,0.7,0.02,1,0.22,11,315.9776643842046,418.62,9.226115565774649,1.4,0.8540214405213965,50
6800,ppl_rss_mpc,0.72,0.04,2,0.24,12,319.3543092924142,403.84,9.231525814500674,2.12,0.8656785887457765,50
7000,ppl_rss_mpc,0.7,0.06,3,0.24,12,315.64132582288124,421.84,9.13582351602216,1.46,0.8566218387789288,50
7200,ppl_rss_mpc,0.68,0.04,2,0.28,14,313.4722487780585,379.58,9.479818417101027,2.82,0.8511244591322777,50
7400,ppl_rss_mpc,0.74,0.06,3,0.2,10,324.0700408540644,418.82,9.179491346416281,2.74,0.8726306061472121,50
7600,ppl_rss_mpc,0.66,0.08,4,0.24,12,315.5482417872766,443.3,9.162258691596513,1.92,0.8505983339458885,50
7800,ppl_rss_mpc,0.68,0.02,1,0.24,12,317.3264376695746,452.54,9.094658682991506,1.94,0.8606620565971456,50
8000,ppl_rss_mpc,0.7,0.08,4,0.24,12,326.75845676569685,406.22,9.43904268928111,3.74,0.8875735615507726,50
8200,ppl_rss_mpc,0.74,0.04,2,0.24,12,327.4207193502218,385.14,9.436509412242494,1.2,0.8856406913281231,50
8400,ppl_rss_mpc,0.74,0.04,2,0.18,9,333.61595337994817,458.24,8.939992036188356,1.76,0.8986361604918889,50
8600,ppl_rss_mpc,0.82,0.0,0,0.12,6,333.58089896157236,431.04,9.166224309641766,3.24,0.9039243926111103,50
8800,ppl_rss_mpc,0.76,0.04,2,0.16,8,319.23838211748983,434.12,9.090216029772034,2.36,0.8743105580063678,50
9000,ppl_rss_mpc,0.74,0.06,3,0.2,10,326.06796735520743,457.32,8.926409141885502,32.02,0.8900990330319565,50
9200,ppl_rss_mpc,0.7,0.02,1,0.24,12,320.70426656193354,416.58,9.250121038131674,8.5,0.8739101217430628,50
9400,ppl_rss_mpc,0.66,0.04,2,0.26,13,314.8448765232395,414.38,9.400261576427148,3.4,0.8454172457174921,50
9600,ppl_rss_mpc,0.76,0.02,1,0.2,10,338.3354095305084,391.82,9.597878492453598,2.02,0.9073110114719285,50
9800,ppl_rss_mpc,0.8,0.02,1,0.12,6,337.3195063636899,456.72,9.026459202558476,1.86,0.9101566598865092,50
10000,ppl_rss_mpc,0.76,0.02,1,0.18,9,325.9285977419237,413.64,9.286702569242179,1.54,0.8877369126610365,50
