,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,route_completion,episode,ckpt_index,env_id,num_ep_in_one_env,method
0,312,9.746357719553924,True,316.6070966360163,6.0,False,False,False,0.9834993566899456,1,6000,1000,1,ppl_rss_mpc
1,169,9.680046186575787,False,171.18743587461083,1.0,True,False,True,0.57274533092035,2,6000,1001,1,ppl_rss_mpc
2,405,9.44571127887458,True,396.66691458703855,8.0,False,False,False,0.9876239162823338,3,6000,1002,1,ppl_rss_mpc
3,353,11.827137311676086,True,433.01512706824724,0.0,False,False,False,0.98862176581433,4,6000,1003,1,ppl_rss_mpc
4,164,13.43044435119739,False,227.56464481094335,1.0,False,False,True,0.455897450915328,5,6000,1004,1,ppl_rss_mpc
5,421,8.53941321127941,True,372.4888894057205,1.0,False,False,False,0.9861565410538136,6,6000,1005,1,ppl_rss_mpc
6,496,8.477012037646096,True,436.6256534771075,2.0,False,False,False,0.9887133765793185,7,6000,1006,1,ppl_rss_mpc
7,372,11.091132121326472,True,429.88271246731944,0.0,False,False,False,0.9892063821856247,8,6000,1007,1,ppl_rss_mpc
8,354,10.153694873176978,True,373.22952615720857,23.0,False,False,False,0.9880077474801273,9,6000,1008,1,ppl_rss_mpc
9,218,10.700918440372392,False,241.27776690422962,1.0,False,False,True,0.6763092722072672,10,6000,1009,1,ppl_rss_mpc
10,125,8.756115601810912,False,111.4124439205581,5.0,False,False,True,0.3551656056193672,11,6000,1010,1,ppl_rss_mpc
11,434,7.918385112314461,True,355.94486795818165,0.0,False,False,False,0.9851786450567183,12,6000,1011,1,ppl_rss_mpc
12,347,10.581110983859205,True,378.2179551737592,5.0,False,False,False,0.9865697328447145,13,6000,1012,1,ppl_rss_mpc
13,313,10.615610503596077,True,343.4340960710694,2.0,False,False,False,0.9832312230837701,14,6000,1013,1,ppl_rss_mpc
14,218,11.58705835149099,True,263.2807821111612,0.0,False,False,False,0.9813722730859983,15,6000,1014,1,ppl_rss_mpc
15,511,10.73180247540725,True,566.283669891176,0.0,False,False,False,0.9912491830650906,16,6000,1015,1,ppl_rss_mpc
16,130,9.889611624823887,False,134.3365233342702,1.0,False,False,True,0.45164364812409447,17,6000,1016,1,ppl_rss_mpc
17,290,11.486694791074134,True,344.5530149877192,0.0,False,False,False,0.9842095134612647,18,6000,1017,1,ppl_rss_mpc
18,137,13.167073114693508,False,187.0313226457878,1.0,False,False,True,0.4464028662310068,19,6000,1018,1,ppl_rss_mpc
19,127,9.821886745037514,False,129.8772873878953,1.0,False,False,True,0.45780428998618267,20,6000,1019,1,ppl_rss_mpc
20,226,10.505358518310226,True,246.60840518826848,0.0,False,False,False,0.9849943093536654,21,6000,1020,1,ppl_rss_mpc
21,324,11.45258217743276,True,384.10306131519894,0.0,False,False,False,0.9882042674867009,22,6000,1021,1,ppl_rss_mpc
22,503,8.048105067276461,True,419.74013840235295,10.0,False,False,False,0.9902604165589567,23,6000,1022,1,ppl_rss_mpc
23,120,10.814186950965855,False,134.13780991715313,1.0,False,False,True,0.4374926678645885,24,6000,1023,1,ppl_rss_mpc
24,267,12.961457836523557,False,359.1484875345834,6.0,False,False,True,0.700167359460107,25,6000,1024,1,ppl_rss_mpc
25,224,10.908987352139054,True,255.8889713455554,0.0,False,False,False,0.9874299494472263,26,6000,1025,1,ppl_rss_mpc
26,485,9.73266890491419,True,488.76332629091826,7.0,False,False,False,0.9885085438386779,27,6000,1026,1,ppl_rss_mpc
27,321,10.263649506873572,True,340.11802090867064,0.0,False,False,False,0.9852853624897241,28,6000,1027,1,ppl_rss_mpc
28,131,11.248225722654691,False,151.44517277290416,1.0,True,False,True,0.6367548871885987,29,6000,1028,1,ppl_rss_mpc
29,277,9.36828494230262,True,271.1742338701014,0.0,False,False,False,0.9799865209948544,30,6000,1029,1,ppl_rss_mpc
30,269,11.089231358884962,True,312.13300909729867,0.0,False,False,False,0.9859045369719315,31,6000,1030,1,ppl_rss_mpc
31,479,9.428451208809305,True,468.2039225105836,0.0,False,False,False,0.9913117128240841,32,6000,1031,1,ppl_rss_mpc
32,327,8.437997568653254,True,287.31634404067864,0.0,False,False,False,0.9828382545250304,33,6000,1032,1,ppl_rss_mpc
33,415,8.838801556302242,True,380.5324107666169,24.0,False,False,False,0.9870496304886103,34,6000,1033,1,ppl_rss_mpc
34,575,8.942207713964661,False,530.5023828979705,4.0,False,False,True,0.97499067138254,35,6000,1034,1,ppl_rss_mpc
