,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,route_completion,episode,ckpt_index,env_id,num_ep_in_one_env
0,162,12.428327589449472,False,206.6804437712962,1.0,False,False,True,0.6643155741848981,1,6200,1000,1
1,164,9.802364905344374,False,167.44193806528088,1.0,True,False,True,0.5609660126868731,2,6200,1001,1
2,275,13.932286639016837,True,397.8880357731767,6.0,False,False,False,0.9888945761782781,3,6200,1002,1
3,340,12.403218831325022,True,438.2855745019265,3.0,False,False,False,0.9893161693522486,4,6200,1003,1
4,162,13.671474268628131,False,227.80051032857062,1.0,False,False,True,0.4560502004865026,5,6200,1004,1
5,252,11.087008432539957,False,288.66878193829,2.0,False,False,True,0.7793383528857905,6,6200,1005,1
6,329,12.643663823576032,True,429.3006554228811,0.0,False,False,False,0.9886482836908463,7,6200,1006,1
7,336,12.206722084613038,True,424.6156927275447,0.0,False,False,False,0.9880386868039839,8,6200,1007,1
8,192,14.08810324541887,False,280.0752398251696,6.0,False,False,True,0.7613703624960674,9,6200,1008,1
9,211,11.083789184589872,False,241.91228403197084,1.0,False,False,True,0.6756400530396418,10,6200,1009,1
10,220,12.387773744988646,False,280.94169876400736,1.0,True,False,True,0.8590332150313486,11,6200,1010,1
11,294,10.662044383531333,False,322.93867849420025,5.0,False,False,True,0.8915791891384194,12,6200,1011,1
12,83,10.725295799994303,False,90.83718251336911,1.0,True,False,True,0.2500162826553087,13,6200,1012,1
13,233,11.560317608483118,False,276.75522820795345,4.0,True,False,True,0.7908837765385028,14,6200,1013,1
14,215,11.728657951732705,True,262.2915524182867,0.0,False,False,False,0.9812116277182936,15,6200,1014,1
15,436,12.659770152862485,True,572.1272721058843,8.0,False,False,False,0.9918993424767668,16,6200,1015,1
16,127,10.258337526000968,False,135.2739482330955,1.0,False,False,True,0.45382636418685646,17,6200,1016,1
17,261,12.839106082189751,True,346.289003647247,0.0,False,False,False,0.985426687506139,18,6200,1017,1
18,319,13.203257367391723,True,436.8154939743939,2.0,False,False,False,0.9884393572790837,19,6200,1018,1
19,127,10.028835058958398,False,132.29855677685563,1.0,False,False,True,0.4661243129569076,20,6200,1019,1
20,229,10.450793358849193,True,246.7406816563195,0.0,False,False,False,0.9801937663996285,21,6200,1020,1
21,273,13.718031052260363,True,386.7289785304194,2.0,False,False,False,0.9886818357630951,22,6200,1021,1
22,296,13.637224364772916,True,418.15040838224235,0.0,False,False,False,0.9902016532036207,23,6200,1022,1
23,119,10.956830658662541,False,134.84286342569064,1.0,False,False,True,0.4396439482247836,24,6200,1023,1
24,408,12.267975751388697,True,518.4213773075631,24.0,False,False,False,0.9918621627605586,25,6200,1024,1
25,204,11.996855542475274,True,255.65096450463136,0.0,False,False,False,0.9856501655799503,26,6200,1025,1
26,282,10.312348388349497,False,301.1614252343275,7.0,False,False,True,0.6177996664069413,27,6200,1026,1
27,203,12.542861385766292,False,263.55865904875407,1.0,False,False,True,0.7707865420403474,28,6200,1027,1
28,187,12.006370427768886,True,231.37620683827978,0.0,False,False,False,0.9823994198120858,29,6200,1028,1
29,212,12.265236524472428,True,271.3289016883053,0.0,False,False,False,0.980783533163345,30,6200,1029,1
30,266,11.259885898705534,True,312.8035043219115,0.0,False,False,False,0.9866806044411789,31,6200,1030,1
31,328,13.75537588512601,True,466.73276423813866,0.0,False,False,False,0.9912268839055345,32,6200,1031,1
32,268,10.212377093006532,True,284.65128537426847,2.0,False,False,False,0.9827752446850883,33,6200,1032,1
33,278,13.204175712865457,True,377.8119040990226,6.0,False,False,False,0.9883741181108034,34,6200,1033,1
34,173,10.402627657122794,False,183.30618094103582,1.0,False,False,True,0.3372044556490399,35,6200,1034,1
35,290,12.682190523746709,True,380.9995937576489,1.0,False,False,False,0.9881255564822026,36,6200,1035,1
36,203,13.16801146344405,True,277.37715652661024,0.0,False,False,False,0.9824314555236874,37,6200,1036,1
37,256,13.186790147865578,True,349.6513753923929,2.0,False,False,False,0.9861436737247761,38,6200,1037,1
38,376,10.925466165806421,True,426.05678692174394,34.0,False,False,False,0.9844942441732074,39,6200,1038,1
39,255,12.000553351997121,True,315.7123479407159,0.0,False,False,False,0.9859335267898172,40,6200,1039,1
40,154,10.394257150977115,False,164.47762304640383,1.0,False,False,True,0.4810438639870774,41,6200,1040,1
41,258,11.436735727368642,True,305.79529773180496,0.0,False,False,False,0.985003699170951,42,6200,1041,1
42,276,10.269612541878573,True,293.162535100706,3.0,False,False,False,0.9878814256826337,43,6200,1042,1
43,282,13.24667153035238,False,387.1866724831999,1.0,True,False,True,0.8072986982121514,44,6200,1043,1
