ckpt_index,success_rate,crash_rate,crash_count,out_of_road_rate,out_of_road_count,avg_reward,avg_episode_length,avg_velocity,avg_cost,avg_route_completion,num_episodes
6000,0.64,0.04,2,0.36,18,306.6892860875856,241.1,12.176565422435083,4.8,0.8410620029709627,50
6200,0.72,0.02,1,0.28,14,322.7478900842015,248.2,12.38709163974933,5.08,0.8692801346500605,50
6400,0.74,0.02,1,0.26,13,325.2063926023095,261.3,11.93610261688385,5.72,0.8888366287052356,50
6600,0.72,0.02,1,0.28,14,325.5705327848831,255.98,12.195744269616709,5.64,0.8788435809442512,50
6800,0.72,0.04,2,0.28,14,327.8281215237806,260.72,12.076720787627458,6.54,0.8808089752461028,50
7000,0.8,0.04,2,0.2,10,339.0943845343261,273.52,11.963414048465452,7.12,0.9079105060949282,50
7200,0.58,0.06,3,0.42,21,296.5841203932715,236.12,12.006721866515939,5.18,0.8110961767232989,50
7400,0.66,0.08,4,0.34,17,312.8884067472671,249.86,12.056500359302692,6.76,0.8478945656184794,50
7600,0.62,0.02,1,0.38,19,305.55004256747,248.2,11.83763904950011,6.56,0.8398958005120412,50
7800,0.68,0.04,2,0.32,16,311.5853341526133,252.06,11.908583153733394,7.72,0.855810680987186,50
8000,0.78,0.06,3,0.22,11,336.94407948614986,273.24,11.869336443322243,8.84,0.907380422170196,50
8200,0.82,0.02,1,0.18,9,342.3842477077342,274.1,12.031843767262316,9.3,0.9192206556130311,50
8400,0.7,0.06,3,0.3,15,323.861193267623,260.96,12.00749814409062,10.1,0.8792338431904071,50
8600,0.72,0.08,4,0.28,14,320.35353713816636,260.02,11.839084319263927,8.86,0.8717380576102803,50
8800,0.72,0.02,1,0.28,14,321.0138907158123,259.06,11.865523808293588,6.68,0.8739194046616583,50
9000,0.68,0.1,5,0.32,16,312.34046561147676,253.98,11.854018084444151,5.94,0.8570763061294094,50
9200,0.74,0.04,2,0.26,13,333.7806040388773,267.12,12.018533508869796,6.5,0.9024099852762913,50
9400,0.74,0.04,2,0.26,13,325.40699084277344,261.42,11.90535366601186,5.28,0.8827725197565411,50
9600,0.72,0.06,3,0.28,14,322.888255965197,258.68,12.017475245270225,6.88,0.8787549117652702,50
9800,0.76,0.04,2,0.24,12,333.1303850859688,268.7,11.952193378370085,5.72,0.8983631433770565,50
10000,0.66,0.02,1,0.34,17,325.6550614426022,262.7,11.90019933293483,6.68,0.877012119464978,50
