ckpt_index,success_rate,crash_rate,crash_count,out_of_road_rate,out_of_road_count,avg_reward,avg_episode_length,avg_velocity,avg_cost,avg_route_completion,num_episodes
6000,0.4,0.1,5,0.6,30,267.4170900269044,208.66,12.137409683660014,2.64,0.7337668128432386,50
6200,0.42,0.14,7,0.58,29,261.19280942013694,209.12,11.836693461891675,3.34,0.7259809892517087,50
6400,0.44,0.12,6,0.56,28,271.36623819189214,213.98,12.084746323808814,3.94,0.756700169694369,50
6600,0.48,0.14,7,0.52,26,292.9313073465181,229.76,12.171475069082128,3.26,0.7953611240151826,50
6800,0.48,0.1,5,0.52,26,286.0006068281616,223.82,12.134181467863973,3.06,0.7745438137605194,50
7000,0.46,0.2,10,0.56,28,279.875715355616,223.48,11.941447267120086,3.02,0.7692684323694426,50
7200,0.46,0.14,7,0.54,27,282.60187334710946,224.38,12.02416509067064,2.82,0.779121571428921,50
7400,0.56,0.08,4,0.44,22,307.9845775927924,238.42,12.299084509999036,2.86,0.822362728057709,50
7600,0.54,0.12,6,0.46,23,301.30768204206606,235.78,12.211639450951427,3.44,0.808120240185187,50
7800,0.58,0.1,5,0.42,21,310.79476945672724,245.86,12.16690040946477,3.62,0.8439619189677083,50
