,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,route_completion,episode,ckpt_index,env_id,num_ep_in_one_env
0,161,12.501718283873752,False,206.1059717370364,1.0,False,False,True,0.6618502901038897,1,7400,1000,1
1,159,10.276127241048071,False,168.6798456666191,1.0,True,False,True,0.5584376476828825,2,7400,1001,1
2,284,13.52431291627408,True,397.19079637340013,10.0,False,False,False,0.9888995413377708,3,7400,1002,1
3,329,12.822279875660337,True,435.70404530037433,0.0,False,False,False,0.9881313343084356,4,7400,1003,1
4,328,14.821098307464093,True,503.19413038810234,0.0,False,False,False,0.991520899846416,5,7400,1004,1
5,136,11.167927905460923,False,155.75351242209138,1.0,False,False,True,0.4188943045426742,6,7400,1005,1
6,160,12.214657384194414,False,201.59322050982587,1.0,False,False,True,0.45663499335680247,7,7400,1006,1
7,146,10.68039068586068,False,161.46718062301423,1.0,False,False,True,0.3831747051761296,8,7400,1007,1
8,288,12.639461708075459,True,375.2183717960115,17.0,False,False,False,0.9875283490430578,9,7400,1008,1
9,154,11.045586825010293,False,175.55590163189305,1.0,False,False,True,0.49602437384684384,10,7400,1009,1
10,248,12.63845149147816,True,321.9460952474726,0.0,False,False,False,0.9832502655068188,11,7400,1010,1
11,318,10.687144793959202,True,347.607671602445,19.0,False,False,False,0.9811882189835619,12,7400,1011,1
12,271,13.535390818343437,True,379.9773087596059,0.0,False,False,False,0.9880171601313115,13,7400,1012,1
13,117,11.849674758991277,False,142.80638150418605,1.0,True,False,True,0.4146670459353548,14,7400,1013,1
14,209,12.215780525392901,True,264.9950778261055,0.0,False,False,False,0.9824175050569718,15,7400,1014,1
15,415,13.324769332350423,True,571.9486343286715,0.0,False,False,False,0.9907110551138104,16,7400,1015,1
16,149,10.82951335384113,False,166.25712272083393,1.0,False,False,True,0.5384013704168678,17,7400,1016,1
17,272,12.455848217532568,True,349.03371846801383,0.0,False,False,False,0.9861293540173992,18,7400,1017,1
18,312,13.489725394469104,True,437.61885472258456,2.0,False,False,False,0.9883240601925276,19,7400,1018,1
19,148,10.690117459151672,False,162.93280175567628,1.0,False,False,True,0.5596584627929301,20,7400,1019,1
20,222,11.014303279155465,True,251.9654392233111,0.0,False,False,False,0.9800750605328555,21,7400,1020,1
21,230,14.271033422198347,False,339.3478188178272,2.0,False,False,True,0.8695189362099119,22,7400,1021,1
22,305,13.369030399760984,True,420.5471758088277,4.0,False,False,False,0.9911716520872728,23,7400,1022,1
23,240,12.668165175155794,True,315.663511974942,0.0,False,False,False,0.9839063304488587,24,7400,1023,1
24,265,13.285980441313216,False,364.24596113806314,8.0,True,False,True,0.7118436183619539,25,7400,1024,1
25,204,12.13156590067235,True,257.47840887011546,0.0,False,False,False,0.9844961847801307,26,7400,1025,1
26,343,10.085128403465376,False,356.2164887083091,23.0,False,False,True,0.7184653013186729,27,7400,1026,1
27,252,13.063833776758143,True,339.14510634570047,3.0,False,False,False,0.9842340701057276,28,7400,1027,1
28,175,12.805583338818241,True,231.32483372484668,0.0,False,False,False,0.9803972298841583,29,7400,1028,1
29,207,12.664508591085593,True,271.9356711582201,0.0,False,False,False,0.9826841050710318,30,7400,1029,1
30,110,10.229116331342214,False,115.70147506434934,1.0,False,False,True,0.393863696153297,31,7400,1030,1
31,340,13.363443418557129,True,468.95591609682975,6.0,False,False,False,0.9903915410604361,32,7400,1031,1
32,116,11.274555449551526,False,133.43497186200207,4.0,False,False,True,0.47902846688569495,33,7400,1032,1
33,268,13.704755782212969,True,381.6616078783839,0.0,False,False,False,0.988701496486787,34,7400,1033,1
34,401,13.14222148403197,True,545.4312815157768,0.0,False,False,False,0.9905925988171197,35,7400,1034,1
35,291,12.765491475161552,True,383.91034684298273,8.0,False,False,False,0.9856359230303313,36,7400,1035,1
36,215,12.46025783682935,True,278.681731654788,0.0,False,False,False,0.9849703573579411,37,7400,1036,1
37,102,10.811098535373075,False,113.1822950761622,1.0,True,False,True,0.32022855323167104,38,7400,1037,1
38,204,13.269927673363336,False,279.99306644846246,7.0,False,False,True,0.6618672191363246,39,7400,1038,1
39,263,11.71215607603111,True,318.5110774238292,3.0,False,False,False,0.9871097185657086,40,7400,1039,1
40,153,10.857881075756882,False,171.26750410676345,1.0,False,False,True,0.5018228997545886,41,7400,1040,1
41,255,11.735266308822698,True,307.5410024556311,0.0,False,False,False,0.9834729913391327,42,7400,1041,1
42,179,11.514724649755031,False,213.15499293995984,1.0,False,False,True,0.7157329070585451,43,7400,1042,1
43,328,12.893057651619895,False,437.3995813216432,2.0,False,False,True,0.9107763414695215,44,7400,1043,1
44,214,12.79412683594585,False,282.5709886989368,6.0,False,False,True,0.9650195194809591,45,7400,1044,1
45,330,12.898731688898232,True,436.25474810767537,0.0,False,False,False,0.9860468244596143,46,7400,1045,1
46,389,13.7490134882226,True,553.7419650155963,0.0,False,False,False,0.9918120056744522,47,7400,1046,1
47,191,11.621393602393098,True,229.92028058115008,0.0,False,False,False,0.977664708427739,48,7400,1047,1
48,313,11.492714109153985,False,371.00024050125285,5.0,False,False,True,0.905524656189735,49,7400,1048,1
49,212,13.895182020113822,False,303.4567468933158,1.0,False,False,True,0.8672205521128261,50,7400,1049,1
