ckpt_index,success_rate,crash_rate,crash_count,out_of_road_rate,out_of_road_count,avg_reward,avg_episode_length,avg_velocity,avg_cost,avg_route_completion,num_episodes
6000,0.54,0.02,1,0.46,23,283.91506902481177,226.26,11.954663257142206,2.98,0.7798408735058938,50
6200,0.54,0.06,3,0.46,23,293.33580191511214,234.6,11.870015612950217,2.86,0.8037235892342409,50
6400,0.6,0.04,2,0.4,20,299.8090169408513,237.84,11.985490803283954,3.6,0.8173870039928659,50
6600,0.64,0.08,4,0.36,18,309.658214512165,251.24,11.788929642285211,3.7,0.8423830728933581,50
6800,0.54,0.06,3,0.46,23,293.691410181513,237.88,11.756587971495437,4.0,0.803414660242793,50
7000,0.58,0.02,1,0.42,21,301.9144128063484,238.54,12.032822847427129,2.82,0.8130929764160874,50
7200,0.6,0.04,2,0.4,20,293.30835965772354,235.34,11.861848271566684,2.84,0.8110076488451539,50
7400,0.56,0.02,1,0.44,22,291.9826358998152,233.48,11.950106703813839,3.44,0.805185132752361,50
7600,0.66,0.02,1,0.34,17,306.864957721124,248.08,11.849652570633218,4.06,0.8434934385802094,50
7800,0.68,0.06,3,0.32,16,315.7220707103764,253.92,11.920059772553156,2.84,0.8617140627236362,50
8000,0.6,0.08,4,0.4,20,303.40704834113956,247.32,11.74009233448034,4.16,0.8346310441252203,50
8200,0.56,0.12,6,0.44,22,297.58854382196006,240.98,11.792959381109762,4.04,0.8155924369125458,50
8400,0.64,0.08,4,0.36,18,313.6355545135366,253.0,11.856301454674336,2.84,0.8581380320457265,50
8600,0.6,0.06,3,0.4,20,299.38274610086427,238.0,11.997482407745274,2.2,0.8277164080516043,50
8800,0.6,0.04,2,0.4,20,300.6509638863879,240.1,11.99147514667758,2.14,0.8320865805134116,50
9000,0.6,0.04,2,0.4,20,298.23964416519,239.34,11.861803415762955,2.8,0.8180516909769651,50
9200,0.66,0.0,0,0.34,17,313.0823397185921,251.82,11.93841013831501,3.36,0.8576492552254965,50
9400,0.72,0.04,2,0.28,14,323.6920834252051,266.08,11.668308525373943,2.6,0.8741011565255548,50
9600,0.68,0.04,2,0.32,16,320.24090479772866,257.82,11.946199203226735,3.32,0.8691782644848368,50
9800,0.66,0.08,4,0.34,17,312.86063637118446,252.56,11.846427573717326,3.78,0.8528229445363373,50
10000,0.68,0.1,5,0.32,16,317.1023951391157,258.6,11.798555253208741,3.76,0.8683409734695212,50
