,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,route_completion,episode,ckpt_index,env_id,num_ep_in_one_env
0,259,11.805810110046433,True,316.2291056916892,2.0,False,False,False,0.9801825170648161,1,6000,1000,1
1,282,10.36414460847633,True,303.2880685049474,2.0,False,False,False,0.9775502020305503,2,6000,1001,1
2,286,13.314435943916843,True,397.0592487664456,3.0,False,False,False,0.9897337116971738,3,6000,1002,1
3,195,12.851270932187738,False,258.808317831947,1.0,False,False,True,0.6139178935502809,4,6000,1003,1
4,172,12.986812652560355,False,230.86970241142888,1.0,False,False,True,0.46319319905537426,5,6000,1004,1
5,335,10.706287042349983,True,368.7701568424358,3.0,False,False,False,0.9835726053130138,6,6000,1005,1
6,166,12.005347135784229,False,205.79290884950848,1.0,False,False,True,0.467082436928799,7,6000,1006,1
7,142,10.344890124007675,False,151.2690464190188,1.0,False,False,True,0.3607957751871625,8,6000,1007,1
8,73,9.209277159384605,False,68.72279556196936,1.0,True,False,True,0.19552600752394045,9,6000,1008,1
9,159,10.52201874844339,False,173.03818702089805,1.0,False,False,True,0.48998643343489096,10,6000,1009,1
10,243,12.79465352826493,True,322.46461784657794,2.0,False,False,False,0.9849057774917059,11,6000,1010,1
11,94,9.424775226381165,False,91.43004492235787,1.0,False,False,True,0.2799539041176402,12,6000,1011,1
12,87,10.836547890065553,False,96.38700267402317,1.0,True,False,True,0.2587534563376031,13,6000,1012,1
13,223,10.630541033753925,False,247.424800076524,1.0,False,False,True,0.718044809034231,14,6000,1013,1
14,214,11.816183303888419,True,264.2248372296002,0.0,False,False,False,0.9819569814417091,15,6000,1014,1
15,194,11.719731905835149,False,235.062503111341,15.0,False,False,True,0.399181555518428,16,6000,1015,1
16,136,9.92196925389205,False,137.94053740349685,1.0,False,False,True,0.46140419932159576,17,6000,1016,1
17,280,12.080081953996594,True,348.1738812928735,7.0,False,False,False,0.9841805123565711,18,6000,1017,1
18,69,9.041202084927635,False,63.65637659717083,1.0,True,False,True,0.154676709182281,19,6000,1018,1
19,134,9.963419551078596,False,138.00001810098888,1.0,False,False,True,0.4834604540642763,20,6000,1019,1
20,226,10.717732046963462,True,251.59793624205142,0.0,False,False,False,0.9804197447632115,21,6000,1020,1
21,72,9.286579266894497,False,67.76367429929915,1.0,True,False,True,0.1823014821698268,22,6000,1021,1
22,280,11.54362663694385,False,333.4402032304739,26.0,False,False,True,0.785763609821143,23,6000,1022,1
23,250,12.026985488015853,True,311.77390557183264,0.0,False,False,False,0.9825171057998826,24,6000,1023,1
24,382,13.08958495470502,True,518.1827310859469,21.0,False,False,False,0.9927455863127662,25,6000,1024,1
25,208,11.816765190956055,True,256.21670488281086,0.0,False,False,False,0.9878975344529698,26,6000,1025,1
26,241,11.365140321763066,False,281.7150120673104,5.0,False,False,True,0.5824367916109957,27,6000,1026,1
27,263,12.535923303109456,True,340.90436268643344,1.0,False,False,False,0.9863581454004503,28,6000,1027,1
28,190,11.76953809691716,True,231.27189145851838,6.0,False,False,False,0.9823048794515777,29,6000,1028,1
29,218,11.996955674749621,True,272.41365402440306,0.0,False,False,False,0.9844413529366087,30,6000,1029,1
30,271,11.036968866386776,True,311.1417741365573,0.0,False,False,False,0.9876637072509816,31,6000,1030,1
31,330,13.610551249961475,True,466.9382478923948,4.0,False,False,False,0.9918442969919298,32,6000,1031,1
32,120,10.975530523753344,False,135.33382611284603,5.0,False,False,True,0.4826084669829375,33,6000,1032,1
33,273,13.421265535009681,True,380.3226483750151,0.0,False,False,False,0.9882093692894766,34,6000,1033,1
34,170,10.41126529107276,False,181.5249698041073,1.0,False,False,True,0.32726423258534715,35,6000,1034,1
35,275,13.33709764077165,True,381.08319545026643,0.0,False,False,False,0.9879492743537956,36,6000,1035,1
36,216,12.300611734449385,True,274.2312587508067,0.0,False,False,False,0.9815469350896624,37,6000,1036,1
37,273,12.374390103975708,True,349.9080436705866,0.0,False,False,False,0.9860594737230916,38,6000,1037,1
38,339,11.487307007450054,False,403.2176455020987,15.0,False,False,True,0.9147949279814105,39,6000,1038,1
39,233,12.246170109661431,False,296.4763272615296,3.0,False,False,True,0.9104676103402892,40,6000,1039,1
40,290,11.166648464575685,True,336.93133605507563,0.0,False,False,False,0.9896024919269587,41,6000,1040,1
41,230,11.599215743493879,False,274.1144580033427,8.0,False,False,True,0.8825791581340434,42,6000,1041,1
42,298,9.546481696232686,True,293.90876959760965,63.0,False,False,False,0.9863960453233783,43,6000,1042,1
43,198,12.683752380503908,False,259.754939499266,1.0,False,False,True,0.5543163373401133,44,6000,1043,1
44,226,12.31881403785789,True,288.75662836683085,10.0,False,False,False,0.9836494314624199,45,6000,1044,1
45,350,12.146676254485714,True,437.6948600760604,7.0,False,False,False,0.9888399419388438,46,6000,1045,1
46,452,11.705886477935895,True,545.8625064407724,30.0,False,False,False,0.992477079370358,47,6000,1046,1
47,188,11.724014635693274,True,228.35180014638345,0.0,False,False,False,0.9767373187638076,48,6000,1047,1
48,303,11.637415109117464,False,365.3215474308411,6.0,False,False,True,0.9033792684466996,49,6000,1048,1
49,260,12.82348881675704,True,345.7534866934999,0.0,False,False,False,0.9870647034240467,50,6000,1049,1
0,256,11.890067351799035,True,314.7743540059824,3.0,False,False,False,0.9845167269436943,1,6200,1000,1
1,280,10.430480925334573,True,304.4670602772031,1.0,False,False,False,0.9797185466943297,2,6200,1001,1
