,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,crash_object,crash_building,crash_sidewalk,first_crash_step,first_crash_vehicle_step,first_out_of_road_step,crash_vehicle_steps,out_of_road_steps,route_completion,episode,ckpt_index,env_id,num_ep_in_one_env
0,418,7.371557149122133,True,319.4143083601858,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9851592616428688,1,6000,1000,1
1,400,7.433255880131669,True,308.9962294567728,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9804923660702677,2,6000,1001,1
2,239,7.9306261562190326,False,196.06720860475863,1.0,True,False,True,False,False,True,239,-1,239,0,1,0.4796578927433837,3,6000,1002,1
3,545,7.545746714693005,True,425.5106649190816,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9905731715363791,4,6000,1003,1
4,505,9.397013483581716,True,495.41980844049067,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9919925879870506,5,6000,1004,1
5,476,7.542829533486205,True,371.55938299170316,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9851590486830724,6,6000,1005,1
6,439,9.336711068211065,True,423.5008713502819,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9885392023949986,7,6000,1006,1
7,287,9.055413677473421,False,268.4530986963401,1.0,True,True,False,False,False,False,287,287,-1,1,0,0.623285088849641,8,6000,1007,1
8,146,9.236871682603539,False,139.28406046233215,1.0,True,True,False,False,False,False,146,146,-1,1,0,0.3936743947193034,9,6000,1008,1
9,356,9.570964745874356,True,353.7007956988881,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9835293233292216,10,6000,1009,1
10,398,7.88092666378102,True,325.2167945871631,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9829675908177091,11,6000,1010,1
11,438,7.820555232589037,True,354.2431588892907,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9833084977778085,12,6000,1011,1
12,501,7.258786078926219,True,379.15547346357016,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9892356509399569,13,6000,1012,1
13,324,7.151324793862577,False,238.8314222217086,1.0,True,False,True,False,False,True,324,-1,324,0,1,0.6889424611074926,14,6000,1013,1
14,274,9.409178873235225,True,267.26458433072395,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9787927479767244,15,6000,1014,1
15,443,7.713683171033118,False,351.58317012456644,1.0,True,True,False,False,False,False,443,443,-1,1,0,0.5925689306209649,16,6000,1015,1
16,268,9.338824118403275,False,258.69964825233285,1.0,True,True,False,False,False,False,268,268,-1,1,0,0.8268988269897378,17,6000,1016,1
17,414,8.105973432844989,True,348.89145220438553,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9853138951560151,18,6000,1017,1
18,419,10.073057433304347,True,439.3738134077514,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9885253874802689,19,6000,1018,1
19,283,8.620785489233553,False,252.85806674459562,1.0,False,False,True,False,False,False,-1,-1,283,0,1,0.8360906707032675,20,6000,1019,1
20,194,7.895953325007705,False,159.36981673058503,1.0,True,True,False,False,False,False,194,194,-1,1,0,0.6264656643989018,21,6000,1020,1
21,371,10.004030004639027,True,384.92878494840306,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.987589881778205,22,6000,1021,1
22,463,8.644206502543792,True,416.9370034564384,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9888524363727001,23,6000,1022,1
23,395,7.807395623140503,True,320.34259256704996,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9811119686323105,24,6000,1023,1
24,494,9.972157178722046,True,510.92866445295607,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9912519613510998,25,6000,1024,1
25,260,9.483920069867402,True,255.8039256773459,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9848755589357987,26,6000,1025,1
26,162,8.870117289147517,False,148.74610066003856,1.0,True,True,False,False,False,False,162,162,-1,1,0,0.3117699651894502,27,6000,1026,1
27,418,7.953340596442297,True,345.1139550113692,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.985773911320269,28,6000,1027,1
28,229,9.921660355804326,True,236.69408984411925,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9811928421763076,29,6000,1028,1
29,272,9.701972519775822,True,272.9702980997556,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9824114041447161,30,6000,1029,1
30,392,7.63347538478469,True,308.9826643361821,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9849195423661575,31,6000,1030,1
31,358,9.180891327473852,False,340.22795285216506,1.0,False,False,True,False,False,False,-1,-1,358,0,1,0.7382004826483025,32,6000,1031,1
32,327,8.566004053161555,True,291.6828991100815,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9824462709013971,33,6000,1032,1
33,383,9.525111011068919,True,379.3180509638862,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9870416986041305,34,6000,1033,1
34,702,7.492350426114553,True,543.4745291306486,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9891524836090881,35,6000,1034,1
35,253,9.085960924717606,False,238.09754686856553,1.0,True,True,False,False,False,False,253,253,-1,1,0,0.6027985053546638,36,6000,1035,1
36,319,7.951502443460364,False,262.09990523148076,1.0,True,True,False,False,False,False,319,319,-1,1,0,0.9251051295616354,37,6000,1036,1
37,425,7.92567957881543,True,350.1715141183026,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9870749760908717,38,6000,1037,1
38,635,6.426908402822587,True,423.45827509665116,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.986570464901624,39,6000,1038,1
39,398,7.640428319242608,True,315.3093694393576,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9851691634979546,40,6000,1039,1
40,345,9.486484119687999,True,338.9614753818187,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9866095134621925,41,6000,1040,1
41,374,7.7349197992069865,True,302.7169027748682,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.98774348215852,42,6000,1041,1
42,251,9.128387737919216,False,237.6631760882602,1.0,False,False,True,False,False,False,-1,-1,251,0,1,0.8051578149995128,43,6000,1042,1
43,630,7.195780280815886,True,469.4516105004484,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9881518490616616,44,6000,1043,1
44,310,9.050516755605393,True,291.5511596452867,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9820169513209441,45,6000,1044,1
45,530,7.843645319801218,True,431.50037186729776,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9884958054802063,46,6000,1045,1
46,679,7.8715456476893495,True,556.8978801465466,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.992434048709161,47,6000,1046,1
47,235,9.469434937732693,True,229.8906105791208,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9760185903677461,48,6000,1047,1
48,596,6.382171101499569,True,389.9973089641396,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9829024609283378,49,6000,1048,1
49,249,8.633159139700465,False,222.34890888248563,1.0,True,True,False,False,False,False,249,249,-1,1,0,0.6492152567658018,50,6000,1049,1
0,416,7.402997069510102,True,319.2330702945176,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9852552414509376,1,6200,1000,1
1,404,7.370183403099485,True,305.9461869691849,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.983082412280219,2,6200,1001,1
2,237,7.95954473201888,False,195.15527497805218,1.0,True,False,True,False,False,True,237,-1,237,0,1,0.47682858479963824,3,6200,1002,1
3,574,7.183228723781059,True,424.9773829461347,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9892386453801133,4,6200,1003,1
