ckpt_index,success_rate,crash_rate,crash_count,vehicle_crash_rate,vehicle_crash_count,out_of_road_rate,out_of_road_count,avg_reward,avg_episode_length,avg_velocity,avg_cost,avg_route_completion,num_episodes
6000,0.72,0.22,11,0.18,9,0.1,5,329.8732271326516,384.44,8.445463911100418,0.28,0.891664541652316,50
6200,0.68,0.26,13,0.22,11,0.1,5,324.83409940236214,379.76,8.461569729191972,0.32,0.8799913677755203,50
6400,0.7,0.2,10,0.1,5,0.2,10,327.15850988745257,374.48,8.590654075241353,0.3,0.8878682693050227,50
6600,0.72,0.22,11,0.16,8,0.12,6,325.8646118786406,376.8,8.514101112687767,0.28,0.8822378432736661,50
6800,0.64,0.3,15,0.24,12,0.12,6,320.7553978064233,368.78,8.548194247763819,0.36,0.8685098714098022,50
7000,0.68,0.3,15,0.26,13,0.06,3,315.3424392989589,354.44,8.76263901190983,0.32,0.8536501620996308,50
7200,0.68,0.28,14,0.22,11,0.1,5,322.2691448922728,363.64,8.70519323054431,0.32,0.8734022884510488,50
7400,0.66,0.32,16,0.26,13,0.08,4,324.566196514233,371.4,8.569274272874075,0.34,0.8757710987497233,50
7600,0.68,0.3,15,0.28,14,0.04,2,319.6424521289564,362.4,8.667903705262228,0.32,0.8651106966507455,50
7800,0.62,0.3,15,0.26,13,0.12,6,319.11018879203226,362.62,8.657714391920223,0.38,0.8629204937387026,50
8000,0.7,0.2,10,0.18,9,0.12,6,329.9037868466648,381.42,8.545671203593308,0.3,0.8893486877424336,50
