,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,crash_object,crash_building,crash_sidewalk,first_crash_step,first_crash_vehicle_step,first_out_of_road_step,crash_vehicle_steps,out_of_road_steps,route_completion,rss_unsafe_steps,rss_longitudinal_unsafe_steps,rss_lateral_unsafe_steps,rss_shield_steps,rss_longitudinal_shield_steps,rss_lateral_shield_steps,rss_spring_soft_steps,rss_longitudinal_spring_soft_steps,rss_lateral_spring_soft_steps,rss_first_unsafe_step,rss_first_longitudinal_unsafe_step,rss_first_lateral_unsafe_step,rss_first_shield_step,rss_first_lateral_shield_step,rss_first_spring_soft_step,episode,ckpt_index,env_id,num_ep_in_one_env
0,464,6.6361604154699645,True,319.87201644668903,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9864967062456365,40,9,34,27,9,18,0,0,0,164,164,206,165,248,-1,1,6000,1000,1
1,403,7.355771119089398,True,308.20651137404263,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9817715383700508,11,4,7,8,4,4,0,0,0,170,170,184,171,185,-1,2,6000,1001,1
2,485,7.862305225171322,True,396.0304365703353,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9888010612383152,17,17,0,17,17,0,0,0,0,77,77,-1,78,-1,-1,3,6000,1002,1
3,572,7.220920334347048,True,425.0398670118629,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9899033602197177,44,11,34,23,11,12,0,0,0,85,85,221,86,222,-1,4,6000,1003,1
4,501,9.463378943432161,True,494.23099591792965,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9913600222452176,15,6,9,11,6,5,0,0,0,196,196,260,197,265,-1,5,6000,1004,1
5,423,7.4805906607380575,False,326.32219054458955,1.0,True,True,False,False,False,False,423,423,-1,1,0,0.866380468532395,45,9,36,19,9,10,0,0,0,128,128,388,129,414,-1,6,6000,1005,1
6,514,8.001583737832073,True,426.7454551495993,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.991138751943734,22,22,0,22,22,0,0,0,0,118,118,-1,119,-1,-1,7,6000,1006,1
7,535,7.805343154068923,True,433.5403509665642,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9892525907568614,18,10,8,17,10,7,0,0,0,153,153,347,154,348,-1,8,6000,1007,1
8,383,8.15222344510077,False,326.64089386919034,1.0,True,True,False,False,False,False,383,383,-1,1,0,0.8685130458244096,32,0,32,29,0,29,0,0,0,123,-1,123,124,124,-1,9,6000,1008,1
9,362,9.423406430481354,True,353.8162225121581,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9838051256872438,6,6,0,6,6,0,0,0,0,243,243,-1,244,-1,-1,10,6000,1009,1
10,404,7.7443468540548706,True,324.95368165296725,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9823163536521168,12,12,0,12,12,0,0,0,0,113,113,-1,114,-1,-1,11,6000,1010,1
11,438,7.802431837297191,True,354.7758623868268,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9835831144884422,8,8,0,8,8,0,0,0,0,110,110,-1,111,-1,-1,12,6000,1011,1
