,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,crash_object,crash_building,crash_sidewalk,first_crash_step,first_crash_vehicle_step,first_out_of_road_step,crash_vehicle_steps,out_of_road_steps,route_completion,rss_unsafe_steps,rss_longitudinal_unsafe_steps,rss_lateral_unsafe_steps,rss_shield_steps,rss_longitudinal_shield_steps,rss_lateral_shield_steps,rss_spring_soft_steps,rss_longitudinal_spring_soft_steps,rss_lateral_spring_soft_steps,rss_first_unsafe_step,rss_first_longitudinal_unsafe_step,rss_first_lateral_unsafe_step,rss_first_shield_step,rss_first_lateral_shield_step,rss_first_spring_soft_step,episode,ckpt_index,env_id,num_ep_in_one_env
0,454,6.782595937857162,True,319.827712096188,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9838869202112063,43,8,38,38,8,17,13,12,1,164,164,202,165,203,168,1,6000,1000,1
1,403,7.355782806658038,True,308.2074472465712,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9817752303278718,11,4,7,8,4,4,0,0,0,170,170,184,171,185,-1,2,6000,1001,1
2,275,7.463556208039739,False,212.37955924764123,1.0,True,False,True,False,False,True,275,-1,275,0,1,0.5224719490190368,9,9,0,60,9,0,51,51,0,78,78,-1,72,-1,72,3,6000,1002,1
3,572,7.20063093666423,True,424.3740135242469,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9889054667643785,47,11,37,39,11,13,15,15,0,85,85,222,86,223,91,4,6000,1003,1
4,501,9.461646215393767,True,493.96614304131333,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9914655947731614,18,6,12,26,6,5,15,15,0,199,199,258,194,266,194,5,6000,1004,1
5,509,7.037565456061611,True,369.88487766827245,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9874121298650373,15,15,0,44,15,0,29,29,0,128,128,-1,116,-1,116,6,6000,1005,1
6,513,8.028026305957635,True,426.6072957790005,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9896914103111204,19,19,0,64,19,0,45,45,0,121,121,-1,115,-1,115,7,6000,1006,1
7,537,7.768749901729752,True,433.1024667479985,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9881364922090343,19,9,10,37,9,9,19,19,0,154,154,344,152,345,152,8,6000,1007,1
8,478,7.582491168161031,True,378.61833819076827,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.986173338330742,39,0,39,29,0,28,1,0,1,123,-1,123,124,124,136,9,6000,1008,1
9,363,9.39403764021212,True,353.700947387353,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9834944115295667,6,6,0,30,6,0,24,24,0,243,243,-1,244,-1,250,10,6000,1009,1
10,403,7.776611082566285,True,325.33977552520986,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9837156417014804,12,12,0,50,12,0,38,38,0,113,113,-1,114,-1,180,11,6000,1010,1
