,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,crash_object,crash_building,crash_sidewalk,first_crash_step,first_crash_vehicle_step,first_out_of_road_step,crash_vehicle_steps,out_of_road_steps,route_completion,rss_unsafe_steps,rss_longitudinal_unsafe_steps,rss_lateral_unsafe_steps,rss_shield_steps,rss_longitudinal_shield_steps,rss_lateral_shield_steps,rss_spring_soft_steps,rss_longitudinal_spring_soft_steps,rss_lateral_spring_soft_steps,rss_attack_steps,rss_front_attack_steps,rss_lateral_attack_steps,rss_uncertainty_steps,rss_front_uncertainty_steps,rss_lateral_uncertainty_steps,rss_attack_delta_mean,rss_lateral_attack_delta_mean,rss_front_distance_noise_mean,rss_lateral_gap_noise_mean,rss_front_distance_raw_mean,rss_front_distance_attacked_mean,rss_front_distance_noisy_mean,rss_front_distance_used_mean,rss_lateral_gap_raw_mean,rss_lateral_gap_attacked_mean,rss_lateral_gap_noisy_mean,rss_lateral_gap_used_mean,rss_first_unsafe_step,rss_first_longitudinal_unsafe_step,rss_first_lateral_unsafe_step,rss_first_shield_step,rss_first_lateral_shield_step,rss_first_spring_soft_step,rss_first_attack_step,rss_first_front_attack_step,rss_first_lateral_attack_step,rss_first_uncertainty_step,rss_first_front_uncertainty_step,rss_first_lateral_uncertainty_step,episode,ckpt_index,env_id,num_ep_in_one_env
0,455,6.774144083630107,True,319.9285710087782,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9848223983741753,40,8,35,29,11,17,1,1,0,0,0,0,370,350,58,0.0,0.0,-0.054513824398989344,-0.06374941025601973,50.884544072307065,50.884544072307065,50.83003024790802,50.83003024790802,2.8303265982678254,2.8303265982678254,2.7790639726805404,2.7790639726805404,164,164,205,165,250,183,-1,-1,-1,1,1,206,1,6000,1000,1
1,403,7.332950653967839,True,307.23954013638723,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9788358992550777,12,5,7,9,4,5,0,0,0,0,0,0,60,60,12,0.0,0.0,0.4733625542520839,-0.14537533883283374,38.33884812504963,38.33884812504963,38.81221067930169,38.81221067930169,2.459252397216658,2.459252397216658,2.313877058383824,2.313877058383824,170,170,184,171,185,-1,-1,-1,-1,170,170,185,2,6000,1001,1
2,486,7.8519896903973185,True,396.2257920481407,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9887164421987861,19,19,0,39,18,0,21,21,0,0,0,0,415,415,0,0.0,0.0,0.07942042391306608,0.0,28.260273859120378,28.260273859120378,28.339694283033445,28.339694283033445,0.0,0.0,0.0,0.0,73,73,-1,72,-1,72,-1,-1,-1,43,43,-1,3,6000,1002,1
3,245,8.328186312877497,False,211.66388989919324,1.0,True,True,False,False,False,False,245,245,-1,1,0,0.5080006509438934,20,6,14,21,5,10,6,6,0,0,0,0,245,239,14,0.0,0.0,-0.0024730124134225654,0.09484209160532339,55.45953526417157,55.45953526417157,55.45706225175811,55.45706225175811,2.8187707513684406,2.8187707513684406,2.9547285928338027,2.9547285928338027,85,85,230,86,233,89,-1,-1,-1,1,1,231,4,6000,1003,1
4,501,9.459191963644004,True,493.94996177917716,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9916552897422856,16,7,9,20,8,5,7,5,2,0,0,0,326,326,10,0.0,0.0,-0.0653364258561107,0.13280063668118455,44.74965574103552,44.74965574103552,44.68431931517942,44.68431931517942,1.793374784749668,1.793374784749668,1.9261754214308524,1.9261754214308524,193,193,257,194,262,194,-1,-1,-1,142,142,257,5,6000,1004,1
5,530,6.761341090524375,True,369.74456791811264,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9851681765969054,61,12,49,34,10,11,13,12,1,0,0,0,275,214,71,0.0,0.0,-0.050731644241370236,-0.015306146715930998,27.02509451537879,27.02509451537879,26.97436287113742,26.97436287113742,2.1123622863991227,2.1123622863991227,2.097056139683192,2.097056139683192,105,105,375,110,404,110,-1,-1,-1,105,105,373,6,6000,1005,1
6,516,7.904801660732764,True,422.7591200805903,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9895642754649584,22,15,7,42,15,7,20,20,0,0,0,0,441,441,7,0.0,0.0,0.010289479926555321,-0.3926780955658669,47.42305675612259,47.42305675612259,47.433346236049196,47.433346236049196,0.7971708012263985,0.7971708012263985,0.5709305541833342,0.5709305541833342,148,148,350,112,351,112,-1,-1,-1,1,1,351,7,6000,1006,1
7,539,7.728623876833214,True,431.43103360724865,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9876296699698632,13,7,6,27,13,4,10,9,1,0,0,0,402,402,6,0.0,0.0,-0.21277762229286465,-0.06174987200580959,53.202451668066715,53.202451668066715,52.98967404577357,52.98967404577357,1.526625295095888,1.526625295095888,1.4648754230900785,1.4648754230900785,159,159,369,149,371,149,-1,-1,-1,40,40,370,8,6000,1007,1
8,482,7.510629088778665,True,378.17996088767376,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.986328940299636,39,0,39,29,0,27,2,0,2,0,0,0,55,28,47,0.0,0.0,-0.1339504921600466,-0.13930671263105945,98.4864648566256,98.4864648566256,98.35251436446558,98.35251436446558,1.690863991924133,1.690863991924133,1.5639083195597898,1.5639083195597898,123,-1,123,124,124,254,-1,-1,-1,124,252,124,9,6000,1008,1
9,374,9.106854241716194,True,353.2801924794666,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9823546155133842,11,11,0,22,9,0,13,13,0,0,0,0,174,174,0,0.0,0.0,0.14949853432850596,0.0,39.94694144564818,39.94694144564818,40.09643997997676,40.09643997997676,0.0,0.0,0.0,0.0,243,243,-1,244,-1,245,-1,-1,-1,163,163,-1,10,6000,1009,1
10,404,7.765419173644585,True,325.72299050319924,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9849617195511478,13,13,0,23,13,0,10,10,0,0,0,0,369,369,0,0.0,0.0,0.037872843792910144,0.0,36.80836505557149,36.80836505557149,36.84623789936436,36.84623789936436,0.0,0.0,0.0,0.0,113,113,-1,114,-1,200,-1,-1,-1,1,1,-1,11,6000,1010,1
11,438,7.854138598692681,True,355.19212324460943,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9803245143000319,12,11,1,17,8,1,8,8,0,0,0,0,241,241,4,0.0,0.0,0.24428777497302961,0.1090268241064759,34.73254213994396,34.73254213994396,34.97682991491699,34.97682991491699,4.432313604744188,4.432313604744188,4.541340428850664,4.541340428850664,82,82,395,83,396,83,-1,-1,-1,37,37,384,12,6000,1011,1
12,518,7.018394000464901,True,378.6748753982321,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9895889257594038,26,22,6,35,20,2,14,14,0,0,0,0,489,489,13,0.0,0.0,0.02845901571746925,0.1318055920132222,35.30454326717634,35.30454326717634,35.33300228289383,35.33300228289383,1.476871943223402,1.476871943223402,1.6203734359751847,1.6203734359751847,89,89,400,90,401,141,-1,-1,-1,1,1,309,13,6000,1012,1
13,486,6.925288242357245,True,347.0562470792487,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9803041836457027,12,12,0,29,16,0,13,13,0,0,0,0,319,319,0,0.0,0.0,-0.0782677031426624,0.0,33.045698434248926,33.045698434248926,32.96743073110625,32.96743073110625,0.0,0.0,0.0,0.0,128,128,-1,111,-1,116,-1,-1,-1,44,44,-1,14,6000,1013,1
14,274,9.407824157233632,True,267.24350633176164,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9786976627439815,0,0,0,0,0,0,0,0,0,0,0,0,66,66,0,0.0,0.0,-0.0325486797241847,0.0,65.58758292850803,65.58758292850803,65.55503424878384,65.55503424878384,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,163,163,-1,15,6000,1014,1
15,755,7.272895987387062,True,569.3643278153617,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9918251010838663,40,14,26,47,15,24,8,7,1,0,0,0,543,543,29,0.0,0.0,0.139853906007286,-0.032006901392600276,47.584634080324065,47.584634080324065,47.72448798633139,47.72448798633139,2.0126026172115785,2.0126026172115785,1.9805957158189786,1.9805957158189786,171,171,460,108,461,108,-1,-1,-1,1,1,461,16,6000,1015,1
16,268,9.335069070468393,False,258.6436879440547,1.0,True,True,False,False,False,False,268,268,-1,1,0,0.8266486203833926,7,0,7,1,0,1,0,0,0,0,0,0,44,44,6,0.0,0.0,-0.4345434593588368,0.07310223645166876,79.42641480758245,79.42641480758245,78.99187134822354,78.99187134822354,4.043981796198561,4.043981796198561,4.117084032650229,4.117084032650229,262,-1,262,268,268,-1,-1,-1,-1,198,198,263,17,6000,1016,1
17,395,8.475814993146242,True,348.8165619654728,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.98679887718931,6,6,0,34,11,0,23,23,0,0,0,0,269,269,0,0.0,0.0,0.018146635948161356,0.0,42.33321309912081,42.33321309912081,42.35135973506898,42.35135973506898,0.0,0.0,0.0,0.0,63,63,-1,66,-1,66,-1,-1,-1,36,36,-1,18,6000,1017,1
18,412,10.219709795114461,True,439.1562406265553,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9899149197599317,2,2,0,18,6,0,12,12,0,0,0,0,221,221,0,0.0,0.0,-0.10849583918242905,0.0,45.12027611568514,45.12027611568514,45.01178027650272,45.01178027650272,0.0,0.0,0.0,0.0,254,254,-1,200,-1,200,-1,-1,-1,137,137,-1,19,6000,1018,1
19,418,6.891013772496672,True,298.51083899949424,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9834662882079926,15,12,3,37,12,1,24,24,0,0,0,0,261,259,23,0.0,0.0,-0.009378929602659354,0.04739046107464913,42.6930532490053,42.6930532490053,42.68367431940246,42.68367431940246,3.927391452876879,3.927391452876879,3.9747819139515297,3.9747819139515297,141,141,309,141,310,141,-1,-1,-1,68,68,289,20,6000,1019,1
20,358,6.711394559534457,True,248.94861592820135,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.981543532508573,24,0,24,21,0,20,1,0,1,0,0,0,102,71,31,0.0,0.0,-0.24869562562830327,0.07834328873319694,49.55226332768827,49.55226332768827,49.30356770205997,49.30356770205997,2.148999141166973,2.148999141166973,2.2273424299001707,2.2273424299001707,149,-1,149,152,152,172,-1,-1,-1,43,43,150,21,6000,1020,1
21,428,8.661692927598681,True,384.8159036448963,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9877074561112364,19,19,0,43,16,0,27,27,0,0,0,0,259,259,0,0.0,0.0,-0.07974987968152905,0.0,38.77527559361013,38.77527559361013,38.69552571392864,38.69552571392864,0.0,0.0,0.0,0.0,137,137,-1,138,-1,143,-1,-1,-1,36,36,-1,22,6000,1021,1
22,471,8.536167827892688,True,419.98713630797886,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9898600761946764,32,1,31,15,2,12,1,1,0,0,0,0,194,194,41,0.0,0.0,-0.24794964715204396,-0.08455135226879543,60.235544120481634,60.235544120481634,59.98759447332954,59.98759447332954,1.4924706135330328,1.4924706135330328,1.4336769754516743,1.4336769754516743,216,216,221,205,222,217,-1,-1,-1,204,204,222,23,6000,1022,1
23,463,6.705527294776229,True,320.3275230271108,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9849906565011152,27,1,26,7,1,6,0,0,0,0,0,0,41,5,40,0.0,0.0,-0.18571195017207756,0.12005581605393252,8.201039421706408,8.201039421706408,8.015327471534333,8.015327471534333,1.5572364688021776,1.5572364688021776,1.709128977198225,1.709128977198225,154,311,154,164,164,-1,-1,-1,-1,155,311,155,24,6000,1023,1
24,580,8.469343550575624,True,509.0522391022355,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9905751556042719,56,0,56,40,1,38,2,0,2,0,0,0,247,208,69,0.0,0.0,0.1380968543861137,-0.05630291768319056,86.19707598870106,86.19707598870106,86.33517284308712,86.33517284308712,2.6552918931733958,2.6552918931733958,2.6000414413720923,2.6000414413720923,217,-1,217,217,217,351,-1,-1,-1,189,189,217,25,6000,1024,1
25,278,8.83188908129127,True,254.80565977027936,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9812083421180477,6,6,0,18,5,0,13,13,0,0,0,0,112,112,0,0.0,0.0,-0.16189910965188567,0.0,51.492566443851956,51.492566443851956,51.330667334200164,51.330667334200164,0.0,0.0,0.0,0.0,205,205,-1,190,-1,190,-1,-1,-1,141,141,-1,26,6000,1025,1
26,635,7.451259107224287,True,490.45875968513616,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9887792075011835,30,18,12,36,16,8,12,12,0,0,0,0,536,530,12,0.0,0.0,0.14422031596506152,0.3262591201045391,37.63735278015565,37.63735278015565,37.78157309612058,37.78157309612058,0.32005090060908825,0.32005090060908825,0.6780713660777625,0.6780713660777625,63,63,147,59,148,59,-1,-1,-1,35,35,148,27,6000,1026,1
27,423,7.854678858527014,True,344.9551850988547,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9853729479801099,8,8,0,6,6,0,0,0,0,0,0,0,199,199,0,0.0,0.0,-0.10390150988688071,0.0,51.73084043369638,51.73084043369638,51.62693892380944,51.62693892380944,0.0,0.0,0.0,0.0,135,135,-1,136,-1,-1,-1,-1,-1,135,135,-1,28,6000,1027,1
28,238,9.496945656192317,True,235.35755922286506,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9773769041014331,3,3,0,9,4,0,5,5,0,0,0,0,108,108,0,0.0,0.0,0.09854136965630861,0.0,57.77958466015043,57.77958466015043,57.87812602980676,57.87812602980676,0.0,0.0,0.0,0.0,129,129,-1,125,-1,125,-1,-1,-1,68,68,-1,29,6000,1028,1
29,300,8.758904180701066,True,272.33671044974005,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9802071256638814,9,0,9,9,0,9,0,0,0,0,0,0,9,0,9,0.0,0.0,0.0,-0.12255911966079466,0.0,0.0,0.0,0.0,1.3498828826046032,1.3498828826046032,1.227323762943809,1.227323762943809,245,-1,245,246,246,-1,-1,-1,-1,246,-1,246,30,6000,1029,1
30,416,7.191490612880798,True,309.7831423280746,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9844704107516812,32,16,16,35,9,4,22,22,0,0,0,0,256,256,23,0.0,0.0,0.02927260802878634,0.05640190556239304,34.7698818036625,34.7698818036625,34.799154411691305,34.799154411691305,3.1622712967251716,3.1622712967251716,3.220238895615773,3.220238895615773,153,153,313,150,316,150,-1,-1,-1,91,91,314,31,6000,1030,1
31,567,7.887760379875142,True,466.67140066098676,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9901038831107457,55,0,55,37,0,37,0,0,0,0,0,0,312,302,56,0.0,0.0,-0.06484495678243976,-0.05846771832025372,71.92502099927952,71.92502099927952,71.86017604249713,71.86017604249713,1.0321877646820004,1.0321877646820004,0.9849451348066942,0.9849451348066942,156,-1,156,158,158,-1,-1,-1,-1,1,1,157,32,6000,1031,1
32,367,7.58528334630216,True,288.3678841647819,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9806462190532367,19,8,11,17,8,9,0,0,0,0,0,0,34,18,16,0.0,0.0,-0.5464789539549088,-0.22822645142531284,11.775401241728657,11.775401241728657,11.240185374513464,11.240185374513464,2.8837787158034875,2.8837787158034875,2.6623212348240917,2.6623212348240917,172,172,191,173,192,-1,-1,-1,-1,172,172,192,33,6000,1032,1
33,398,9.152442743304238,True,379.4210217368246,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9874024077573413,12,2,10,15,3,8,4,4,0,0,0,0,192,192,10,0.0,0.0,0.1694819179294352,-0.14649558452896141,56.791030340315054,56.791030340315054,56.96051225824444,56.96051225824444,0.3041207689102047,0.3041207689102047,0.3037495446177461,0.3037495446177461,199,199,246,202,248,202,-1,-1,-1,135,135,247,34,6000,1033,1
34,713,7.358928132764348,True,543.5412969581904,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9896418551375245,36,6,30,38,8,25,5,5,0,0,0,0,259,232,38,0.0,0.0,-0.09990198656640584,0.13495190639355245,26.72598302590729,26.72598302590729,26.626081039340864,26.626081039340864,1.5246570129734014,1.5246570129734014,1.709556450557609,1.709556450557609,77,146,77,78,78,212,-1,-1,-1,78,87,78,35,6000,1034,1
35,455,8.106940955590858,True,382.66777181046194,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9854551877570453,14,14,0,43,17,0,26,26,0,0,0,0,385,385,0,0.0,0.0,-0.09618070291631034,0.0,35.73412932257326,35.73412932257326,35.63794861965696,35.63794861965696,0.0,0.0,0.0,0.0,125,125,-1,124,-1,124,-1,-1,-1,42,42,-1,36,6000,1035,1
36,387,6.910037435154703,True,278.63475495738845,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9836433046036689,20,20,0,36,17,0,19,19,0,0,0,0,359,359,0,0.0,0.0,0.13270846088797808,0.0,28.154451058645137,28.154451058645137,28.287159519533045,28.287159519533045,0.0,0.0,0.0,0.0,70,70,-1,67,-1,67,-1,-1,-1,1,1,-1,37,6000,1036,1
37,420,8.048083807665831,True,351.02161280171407,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9872993603556776,26,26,0,25,19,0,6,6,0,0,0,0,331,331,0,0.0,0.0,0.021166926525999333,0.0,36.38650016108878,36.38650016108878,36.408516775695084,36.408516775695084,0.0,0.0,0.0,0.0,163,163,-1,164,-1,188,-1,-1,-1,62,62,-1,38,6000,1037,1
38,325,7.746458078063262,False,259.8724779437134,1.0,True,True,False,False,False,False,325,325,-1,1,0,0.6274153105968375,21,15,6,32,12,5,15,15,0,0,0,0,275,275,5,0.0,0.0,0.2150799983838042,-0.08512119586226805,35.24662563243536,35.24662563243536,35.461705630819175,35.461705630819175,4.23083792513975,4.23083792513975,4.145716729277481,4.145716729277481,92,92,320,93,321,95,-1,-1,-1,1,1,321,39,6000,1038,1
39,391,7.771681780660892,True,315.08229760753295,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9843983773989249,1,1,0,1,1,0,0,0,0,0,0,0,222,222,0,0.0,0.0,-0.02427802636713199,0.0,63.272930198013846,63.272930198013846,63.24865217164674,63.24865217164674,0.0,0.0,0.0,0.0,289,289,-1,290,-1,-1,-1,-1,-1,1,1,-1,40,6000,1039,1
40,345,9.48648889736893,True,338.96133386928454,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9866089377383754,0,0,0,0,0,0,0,0,0,0,0,0,66,66,0,0.0,0.0,0.07271784836953418,0.0,84.536937919108,84.536937919108,84.60965576747748,84.60965576747748,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,39,-1,41,6000,1040,1
41,382,7.585478332083407,True,302.63820101364615,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9880963544154029,7,7,0,21,13,0,8,8,0,0,0,0,297,297,0,0.0,0.0,-0.07194829962269209,0.0,38.7814516347145,38.7814516347145,38.709503335091824,38.709503335091824,0.0,0.0,0.0,0.0,137,137,-1,138,-1,138,-1,-1,-1,37,37,-1,42,6000,1041,1
42,355,7.930560350477454,True,293.01476282201384,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9843120277589231,16,16,0,34,11,0,23,23,0,0,0,0,207,207,0,0.0,0.0,-0.0024920573297964625,0.0,36.44622973271624,36.44622973271624,36.443737675386345,36.443737675386345,0.0,0.0,0.0,0.0,157,157,-1,158,-1,166,-1,-1,-1,121,121,-1,43,6000,1042,1
43,617,7.356333507509821,True,471.3303927428374,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9885343377679879,26,14,12,47,12,12,23,22,1,0,0,0,531,531,15,0.0,0.0,-0.10313306697325042,-0.11461733759173942,43.55888629407974,43.55888629407974,43.45575322710643,43.45575322710643,0.8551004067935715,0.8551004067935715,0.7795258028252162,0.7795258028252162,128,128,284,112,285,112,-1,-1,-1,44,44,285,44,6000,1043,1
44,307,9.128877308169042,True,291.11979512346596,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9805216529040414,7,7,0,19,5,0,14,14,0,0,0,0,226,226,0,0.0,0.0,-0.13628108336760855,0.0,59.65010277146653,59.65010277146653,59.51382168809893,59.51382168809893,0.0,0.0,0.0,0.0,217,217,-1,215,-1,215,-1,-1,-1,1,1,-1,45,6000,1044,1
45,534,7.794261216778339,True,430.7173506542073,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9880310306636588,13,13,0,39,22,0,17,17,0,0,0,0,486,486,0,0.0,0.0,-0.05387043949732994,0.0,35.83477982622871,35.83477982622871,35.78090938673142,35.78090938673142,0.0,0.0,0.0,0.0,86,86,-1,87,-1,141,-1,-1,-1,1,1,-1,46,6000,1045,1
46,661,8.063015947375805,True,555.854352955189,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9905802102172825,39,19,20,34,18,5,11,11,0,0,0,0,535,535,20,0.0,0.0,-0.015544245644406726,-0.19386011446958826,49.95633243526165,49.95633243526165,49.94078818961734,49.94078818961734,0.870270636546115,0.870270636546115,0.6883316065399417,0.6883316065399417,137,137,262,138,263,190,-1,-1,-1,40,40,263,47,6000,1046,1
47,263,8.436031263510746,True,230.06497232145296,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9765340631018287,7,5,2,17,5,4,8,8,0,0,0,0,218,214,4,0.0,0.0,-0.14113849028292128,-0.30167432548817563,51.85561217177241,51.85561217177241,51.714473681489515,51.714473681489515,1.709761600453565,1.709761600453565,1.4080872749653892,1.4080872749653892,112,112,246,113,246,120,-1,-1,-1,1,1,246,48,6000,1047,1
48,561,6.870083138039921,True,397.3118726918951,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9821492800138312,21,10,11,32,10,7,15,14,1,0,0,0,372,370,17,0.0,0.0,0.00999307456777201,0.020903434216086692,31.976738814610986,31.976738814610986,31.986731889178795,31.986731889178795,2.838650303483643,2.838650303483643,2.8595537376997306,2.8595537376997306,163,163,369,100,371,100,-1,-1,-1,91,91,365,49,6000,1048,1
49,433,7.721839058405752,True,346.490709548553,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9878922174091092,13,13,0,39,15,0,24,24,0,0,0,0,326,324,2,0.0,0.0,-0.1995963440672427,-0.20897930239937246,38.41102103057452,38.41102103057452,38.21142468650735,38.21142468650735,5.381900562291203,5.381900562291203,5.17292125989183,5.17292125989183,65,65,-1,64,-1,64,-1,-1,-1,1,1,373,50,6000,1049,1
0,458,6.722235970553511,True,319.3779600451753,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.986113606840687,42,13,32,32,9,18,6,6,0,0,0,0,365,346,60,0.0,0.0,0.01720922689696189,-0.02234470604533608,49.21578161878226,49.21578161878226,49.2329908456793,49.2329908456793,2.8827987285083894,2.8827987285083894,2.8604540224630526,2.8604540224630526,164,164,207,165,210,183,-1,-1,-1,1,1,205,1,6200,1000,1
1,402,7.3342850079538495,True,303.1772047094026,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9799450065198573,14,5,9,10,4,6,0,0,0,0,0,0,64,64,13,0.0,0.0,0.147212315060238,-0.13729457819830643,38.36723301864035,38.36723301864035,38.514445333700586,38.514445333700586,2.21881191068392,2.21881191068392,2.114695252273866,2.114695252273866,170,170,185,171,186,-1,-1,-1,-1,170,170,186,2,6200,1001,1
2,488,7.819866642482703,True,396.40609678801513,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.987374206620179,19,19,0,42,19,0,23,23,0,0,0,0,415,415,0,0.0,0.0,0.06013621808083814,0.0,29.520820892248796,29.520820892248796,29.580957110329656,29.580957110329656,0.0,0.0,0.0,0.0,72,72,-1,69,-1,69,-1,-1,-1,43,43,-1,3,6200,1002,1
3,229,8.582874478973121,False,203.2294771874854,1.0,True,True,False,False,False,False,229,229,-1,1,0,0.4858413983097663,12,4,8,16,4,7,5,5,0,0,0,0,229,229,7,0.0,0.0,0.03273487338225025,0.2888744952768728,55.45078378972427,55.45078378972427,55.483518663106494,55.483518663106494,4.0649478769927905,4.0649478769927905,4.353822372269663,4.353822372269663,86,86,222,87,223,89,-1,-1,-1,1,1,223,4,6200,1003,1
4,504,9.423049348498004,True,495.556488825575,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9913514089373053,10,6,4,18,4,4,10,9,1,0,0,0,326,326,13,0.0,0.0,0.12022558797627889,-0.10483390973359984,41.573219880909946,41.573219880909946,41.69344546888622,41.69344546888622,2.5079630366580123,2.5079630366580123,2.4031291269244126,2.4031291269244126,194,194,264,191,266,191,-1,-1,-1,143,143,264,5,6200,1004,1
5,507,7.079417324344388,True,369.151681952721,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9869846765856573,11,11,0,22,14,0,8,8,0,0,0,0,248,248,0,0.0,0.0,-0.1592028409898288,0.0,32.86753150619817,32.86753150619817,32.70832866520835,32.70832866520835,0.0,0.0,0.0,0.0,149,149,-1,106,-1,106,-1,-1,-1,105,105,-1,6,6200,1005,1
