ckpt_index,success_rate,crash_rate,crash_count,out_of_road_rate,out_of_road_count,avg_reward,avg_episode_length,avg_velocity,avg_cost,avg_route_completion,num_episodes
6000,0.56,0.14,7,0.44,22,287.4233140040911,228.28,11.99889006100239,3.3,0.7938736754403188,50
6200,0.52,0.08,4,0.48,24,287.3595468107515,228.0,12.024614145819669,1.82,0.7900732766979245,50
6400,0.58,0.08,4,0.42,21,292.56257087147657,235.7,11.851809051752541,3.4,0.7979647817174212,50
6600,0.6,0.06,3,0.4,20,294.2502487860545,233.18,11.991944734406909,2.8,0.810574416539163,50
6800,0.66,0.04,2,0.34,17,308.13513452223407,244.78,12.002077115527232,2.88,0.840834958255284,50
7000,0.56,0.1,5,0.44,22,292.34173250649957,230.68,12.08678865005423,2.72,0.8004241389479836,50
7200,0.58,0.1,5,0.42,21,303.03057243708116,236.1,12.18238142414372,2.04,0.8157260561317731,50
7400,0.58,0.06,3,0.42,21,304.38229789324214,238.52,12.178624761417026,2.82,0.837930481653427,50
7600,0.72,0.02,1,0.28,14,324.8208791809686,256.56,12.09638113014579,2.94,0.8832961047451613,50
7800,0.66,0.04,2,0.34,17,310.55372700117096,246.92,11.981316794701875,3.86,0.8422249890144431,50
8000,0.64,0.08,4,0.36,18,309.6221376085579,245.68,11.972020837732963,2.32,0.839507783556991,50
8200,0.58,0.04,2,0.42,21,306.9639802070345,237.68,12.294765581211088,1.44,0.8362662148875153,50
8400,0.6,0.06,3,0.4,20,294.8419339167389,231.76,12.163803694070973,2.22,0.8110610164157341,50
8600,0.58,0.1,5,0.42,21,311.42360149579184,240.86,12.283290463286795,1.42,0.843306629605945,50
8800,0.6,0.06,3,0.4,20,307.02772813150443,242.54,12.065647513088306,3.52,0.8324969219003449,50
9000,0.6,0.14,7,0.4,20,300.0270524111866,243.54,11.832739330387911,4.52,0.8274187682623731,50
9200,0.6,0.06,3,0.4,20,306.3705921265617,243.04,12.10881027565506,2.52,0.8352165100645327,50
9400,0.52,0.08,4,0.48,24,282.6070255349758,224.74,11.978916402041323,2.22,0.7860573641128427,50
9600,0.62,0.06,3,0.38,19,321.3214428332255,250.12,12.241972997491743,2.24,0.8632902028896435,50
9800,0.56,0.08,4,0.44,22,296.3712229805493,234.28,12.103348298085361,2.76,0.8084789460798738,50
10000,0.56,0.06,3,0.44,22,302.19354146607424,235.48,12.261259787878137,2.92,0.8247837385368215,50
